# Distance                   Potential                   Force
2.000100000000000193e+02 5.754822483559379179e+04 1.814907662866115803e+06
2.000324604000000193e+02 3.904023136512732162e+04 4.163310532263796194e+05
2.000549208000000192e+02 3.238259863802292239e+04 2.156208186504783225e+05
2.000773812000000191e+02 2.849288403525810281e+04 1.403680995136855345e+05
2.000998416000000191e+02 2.581210116643707079e+04 1.020003514644365641e+05
2.001223020000000190e+02 2.379799127282016707e+04 7.908768526326640858e+04
2.001447624000000189e+02 2.220170877441147240e+04 6.400662016980861517e+04
2.001672228000000189e+02 2.088962587989000531e+04 5.340169483411285182e+04
2.001896832000000188e+02 1.978221342519839163e+04 4.557803077307901549e+04
2.002121436000000188e+02 1.882855384188178505e+04 3.959223808344551071e+04
2.002346040000000187e+02 1.799421475470446967e+04 3.487976505683550204e+04
2.002570644000000186e+02 1.725489855693699064e+04 3.108322177102244677e+04
2.002795248000000186e+02 1.659286392606897061e+04 2.796595017789850317e+04
2.003019852000000185e+02 1.599478896076730052e+04 2.536535742377232964e+04
2.003244456000000184e+02 1.545043362120913116e+04 2.316624863825234570e+04
2.003469060000000184e+02 1.495176912332719985e+04 2.128485563452320275e+04
2.003693664000000183e+02 1.449239227502678295e+04 1.965888555666041430e+04
2.003918268000000182e+02 1.406712022454895850e+04 1.824110724105879126e+04
2.004142872000000182e+02 1.367170311473844777e+04 1.699509500342704268e+04
2.004367476000000181e+02 1.330261594271300055e+04 1.589233105677475214e+04
2.004592080000000180e+02 1.295690492653279944e+04 1.491018794858985166e+04
2.004816684000000180e+02 1.263207219100098519e+04 1.403049536557613646e+04
2.005041288000000179e+02 1.232598790922739499e+04 1.323850367186712538e+04
2.005265892000000179e+02 1.203682245446347224e+04 1.252212219393676423e+04
2.005490496000000178e+02 1.176299336169166236e+04 1.187135120930337143e+04
2.005715100000000177e+02 1.150312340383619267e+04 1.127785273458823031e+04
2.005939704000000177e+02 1.125600711597482223e+04 1.073462225064116319e+04
2.006164308000000176e+02 1.102058381569618905e+04 1.023573482879126277e+04
2.006388912000000175e+02 1.079591567225599647e+04 9.776146782724406876e+03
2.006613516000000175e+02 1.058116973840169521e+04 9.351539235334801560e+03
