timestep	potential_energy	temperature
0	-0.1832361519	0
100000	-870.4142456	0.7356280684
200000	-1273.330322	0.9267046452
300000	-1722.069336	1.013362765
400000	-2125.959229	1.03202486
500000	-2531.078369	1.026625037
600000	-2977.095947	1.034117579
700000	-3356.10498	1.040549159
800000	-3799.131836	1.046973467
900000	-4135.455566	1.036297679
1000000	-4515.892578	1.047369719
1100000	-4895.866211	1.029959679
1200000	-5263.936035	1.033611655
1300000	-5624.921875	1.052503347
1400000	-6042.593262	1.033548713
1500000	-6409.854492	1.036962271
1600000	-6925.182129	1.039104342
1700000	-7319.651855	1.023960948
1800000	-7770.751465	1.031108975
1900000	-8252.744141	1.029237747
2000000	-8721.805664	1.031661391
2100000	-9160.176758	1.045217752
2200000	-9589.700195	1.05929935
2300000	-10242.45117	1.073035598
2400000	-10652.34766	1.059249759
2500000	-11106.76465	1.044401526
2600000	-11434.07227	1.025963187
2700000	-11910.7207	1.043955564
2800000	-12317.86133	1.029688716
2900000	-12857.0918	1.025866151
3000000	-13287.56934	1.034108877
3100000	-13798.66211	1.041423559
3200000	-14411.36328	1.06165421
3300000	-14918.86719	1.034688592
3400000	-15343.48047	1.032136083
3500000	-15933.05859	1.031143665
3600000	-16396.125	1.02896452
3700000	-16919.89062	1.040360451
3800000	-17514.85156	1.043363452
3900000	-17815.12109	1.034877539
4000000	-18443.39062	1.059584498
4100000	-18920.63672	1.061297894
4200000	-19597.58008	1.048009276
4300000	-20214.39453	1.040089726
4400000	-20762.13867	1.034136295
4500000	-21223.02734	1.059502482
4600000	-21701.125	1.048214436
4700000	-22256.4375	1.046401381
4800000	-23045.28711	1.070168972
4900000	-23644.03906	1.050300479
5000000	-24294.54297	1.065459609
5100000	-24947.50391	1.046751976
5200000	-25672.86133	1.048250198
5300000	-26340.85352	1.05116725
5400000	-26907.90039	1.05704844
5500000	-27375.75391	1.021243334
5600000	-28195.66406	1.067543745
5700000	-28886.37109	1.047923923
5800000	-29671.01172	1.044885755
5900000	-30562.85156	1.064305782
6000000	-31364.36914	1.054644704
6100000	-32076.59961	1.069882989
6200000	-32811.65625	1.069732904
6300000	-33803.51953	1.079101562
6400000	-34548.56641	1.076058507
6500000	-35272.42188	1.066299677
6600000	-36082.14062	1.070331454
6700000	-36918.30469	1.068421483
6800000	-37821.72656	1.061313152
6900000	-38422.20703	1.052112699
7000000	-39477.85547	1.080768347
7100000	-40225.23828	1.066403151
7200000	-41138.8125	1.073120713
7300000	-42048.03516	1.081471324
7400000	-42768.28125	1.050135493
7500000	-43712.29297	1.06754005
7600000	-44688.03516	1.082527637
7700000	-45574.65625	1.085867882
7800000	-46609.71875	1.075544953
7900000	-47515.89844	1.075063944
8000000	-48312.0625	1.077226043
8100000	-49204.66406	1.056639433
8200000	-50275.31641	1.08125627
8300000	-51312.53906	1.075328827
8400000	-52314.34375	1.087938309
8500000	-53268.00781	1.075710058
8600000	-54458.24219	1.086019993
8700000	-55556.15625	1.098764777
8800000	-56379.09766	1.096141815
8900000	-57538.53125	1.090261817
9000000	-58558.60938	1.095889211
9100000	-59835.875	1.082859278
9200000	-60892.67578	1.09179759
9300000	-62171.24609	1.086465597
9400000	-63310.24219	1.106979847
9500000	-64310.35156	1.093910098
9600000	-65533.10156	1.099698305
9700000	-66609.92188	1.094984174
9800000	-67539.54688	1.088821888
9900000	-68780.42188	1.107249141
10000000	-69658.5625	1.078877449
10100000	-70852.22656	1.08475101
10200000	-71955.70312	1.08968091
10300000	-73347.23438	1.113823771
10400000	-74302.15625	1.08216095
10500000	-75617.74219	1.105490804
10600000	-76466.64062	1.073562741
10700000	-77583.72656	1.078182936
10800000	-78737.76562	1.082062364
10900000	-79740.46875	1.082476735
11000000	-80815.8125	1.074816227
11100000	-81863.54688	1.095259547
11200000	-82750.8125	1.089956999
11300000	-83740.05469	1.07973969
11400000	-84647.34375	1.0699054
11500000	-85632.10938	1.0608114
11600000	-86633.39844	1.065990329
11700000	-87522.32812	1.075397491
11800000	-88293.9375	1.072560549
11900000	-89301.71875	1.081377745
12000000	-89915.83594	1.073005319
12100000	-90632.19531	1.056916952
12200000	-91609.60938	1.067614555
12300000	-92681.77344	1.080795884
12400000	-93385.04688	1.07616365
12500000	-94225.46875	1.077367544
12600000	-94883.13281	1.045713902
12700000	-95616.54688	1.064143538
12800000	-96503.29688	1.080414653
12900000	-96947.6875	1.066542625
13000000	-97793.09375	1.071218729
13100000	-98543.125	1.059411764
13200000	-99257.77344	1.068396091
13300000	-100000.8125	1.077143908
13400000	-100752.7891	1.073514342
13500000	-101758.2578	1.08174026
13600000	-102559.2188	1.061247706
13700000	-103320.5781	1.054833412
13800000	-104238.2734	1.054056764
13900000	-105273.1406	1.07657969
14000000	-106083.375	1.064700484
14100000	-106740.1016	1.063823462
14200000	-107249.75	1.041256905
14300000	-107625.1719	1.028484225
14400000	-108359.8594	1.042946935
14500000	-108969.6328	1.057029366
14600000	-109586.6094	1.067813873
14700000	-110013.8359	1.067872286
14800000	-110484.6094	1.05190134
14900000	-111127.8281	1.042512536
15000000	-111564.0625	1.040408134
15100000	-112168.8594	1.041165948
15200000	-112583.4844	1.043579936
15300000	-113373.4844	1.060178399
15400000	-113870.9062	1.047077537
15500000	-114476.6484	1.053363085
15600000	-114976.8438	1.045800447
15700000	-115266.9688	1.044333816
15800000	-115653.7812	1.026559353
15900000	-116051.9141	1.023558855
16000000	-116516.5625	1.035538435
16100000	-116790.2969	1.033191442
16200000	-117364.375	1.046847582
16300000	-117601.8438	1.025712132
16400000	-118127.3125	1.022862792
16500000	-118320.4844	1.018986583
16600000	-118634.2812	1.025262594
16700000	-119112.6953	1.030929804
16800000	-119169.8125	1.005075216
16900000	-119368.9766	1.008037686
17000000	-119764.5391	1.017509103
17100000	-119982.5469	1.029123187
17200000	-120355.0703	1.04757607
17300000	-120515.9844	1.01988399
17400000	-120676.9219	1.023035884
17500000	-121119.2578	1.020175576
17600000	-121557.2812	1.026137948
17700000	-121720.8672	1.02211237
17800000	-121933.9297	1.02438724
17900000	-122280.875	1.023463964
18000000	-122343.375	1.017146707
18100000	-122632.6562	1.0090487
18200000	-123132.375	1.024704337
18300000	-123240.6797	1.034793496
18400000	-123636.4453	1.024322629
18500000	-123785.9531	1.021051884
18600000	-123885.75	1.012967229
18700000	-124267.0156	1.025711298
18800000	-124426.625	1.025546432
18900000	-124654.2344	1.012221575
19000000	-124890.9062	1.010077357
19100000	-125007.0625	1.002542973
19200000	-125054.3047	1.006400108
19300000	-125418.3281	1.040938735
19400000	-125303.5938	1.030935764
19500000	-125535.9844	1.022478342
19600000	-125816.3203	1.023438931
19700000	-125981.8672	1.015645504
19800000	-126133.9922	1.011613965
19900000	-126232.0391	1.01068449
20000000	-126250.5859	1.010520935
20100000	-126441.3125	1.016893148
20200000	-126544.9297	1.027316213
20300000	-126833.2578	1.026121497
20400000	-127150.6719	1.034465671
20500000	-127126.5469	1.013860464
20600000	-127117.8594	1.012529969
20700000	-127234.9688	1.023586273
20800000	-127395.5703	1.013695121
20900000	-127567.5547	1.031268239
21000000	-127749.2031	1.029046416
21100000	-127754.9922	1.023492098
21200000	-127935.1719	1.015295982
21300000	-128279.9141	1.020895243
21400000	-128839.4062	1.038144588
21500000	-128825.0703	1.029085517
21600000	-128979.4688	1.028430104
21700000	-129120.1719	1.010890245
21800000	-129407.7656	1.026344419
21900000	-129413.2969	1.026536942
22000000	-129614.3984	1.038584948
22100000	-129427.9219	1.019894004
22200000	-129566.9141	0.9991846681
22300000	-130083.5	1.021417618
22400000	-130049.5156	0.9938854575
22500000	-130195.6953	1.018033981
22600000	-130072.8906	1.007131457
22700000	-130436.0938	1.020604372
22800000	-130491.4062	1.005899787
22900000	-130596.875	1.001283526
23000000	-130797.8047	1.018336296
23100000	-130701.6094	1.022561193
23200000	-130704.8438	1.011229873
23300000	-130847.1953	1.013459802
23400000	-131004.1016	1.012913704
23500000	-131092.0625	1.00907445
23600000	-131003.4766	1.009553313
23700000	-131172.7188	1.011185288
23800000	-131315.7188	1.005432963
23900000	-131474.0469	1.014347076
24000000	-131736.625	1.00726974
24100000	-131646.5156	0.9950787425
24200000	-131724.0625	1.010267258
24300000	-131768.8594	0.9880149961
24400000	-131867.7188	1.002655864
24500000	-131828.0312	0.9855744243
24600000	-131934.5156	1.010785341
24700000	-132206.9375	1.000283241
24800000	-132227.7812	0.9944694638
24900000	-132311.9844	1.005012631
25000000	-132286.4531	0.9913393855
25100000	-132512.5312	0.9980786443
25200000	-132555.6875	1.000387907
25300000	-132476.7812	1.008773446
25400000	-132357.625	0.9978468418
25500000	-132664.2656	1.010231495
25600000	-132669.6406	1.026291847
25700000	-132661.9375	1.02342689
25800000	-132800.2812	1.00071609
25900000	-133174.3438	1.017410398
26000000	-133266.2344	1.023759842
26100000	-133423.1719	1.015667319
26200000	-133377.0469	1.005631089
26300000	-133290.7656	1.003935575
26400000	-133541.4375	1.016518354
26500000	-133646.1875	1.016565084
26600000	-133648.625	1.012771487
26700000	-133458.25	0.9963876009
26800000	-133552.125	1.00615263
26900000	-133846.4062	1.016139627
27000000	-133932.0156	1.005235195
27100000	-134138.8438	1.011025429
27200000	-133941.4062	0.9923882484
27300000	-134016.1094	0.9999542832
27400000	-133767.6875	1.000838637
27500000	-133950.9219	1.022032619
27600000	-133929.7812	1.003803253
27700000	-134291.5625	1.022775888
27800000	-134116.9375	0.9980953336
27900000	-134092.4062	0.995211482
28000000	-134413.0625	1.021465778
28100000	-134433.2812	1.028104067
28200000	-134198.6875	1.002605557
28300000	-134299.9688	1.00127089
28400000	-134530.7031	1.0096457
28500000	-134717.5312	1.015197396
28600000	-134690.7188	1.013730645
28700000	-134770.625	1.019433022
28800000	-134710.5938	1.01923275
28900000	-134906.7344	1.021946311
29000000	-134805.0312	1.010675192
29100000	-134903.8594	1.011319637
29200000	-134970.3125	0.9999087453
29300000	-134949.1875	1.001065731
29400000	-134992.8125	0.9890589714
29500000	-135223.8438	1.011966705
29600000	-135040	1.00062871
29700000	-135361.6875	1.027454853
29800000	-135216.7812	1.000220299
29900000	-135307.125	1.000390291
30000000	-135335.3281	0.9861493707
30100000	-135348.0312	0.9813838005
30200000	-135658.7344	1.002671719
30300000	-135474.9375	1.007878542
30400000	-135379.2188	1.013776183
30500000	-135369.2031	1.016500473
30600000	-135503.2188	1.019082308
30700000	-135622.0625	0.9916169047
30800000	-135869.8125	1.019160271
30900000	-135661.6406	1.013299465
31000000	-135662.4688	1.008557081
31100000	-135761.1094	1.011344552
31200000	-135742.4062	1.007167578
31300000	-135596.2812	0.99686867
31400000	-135712.5469	1.003283739
31500000	-135561.25	0.9941444993
31600000	-135752.6875	1.008408546
31700000	-135758.4062	0.9960054755
31800000	-135883.9062	1.020552874
31900000	-135849.7812	1.004081964
32000000	-135753.0781	1.006226778
32100000	-135771.625	1.005350113
32200000	-136188	1.026370645
32300000	-135845.3125	0.9851814508
32400000	-136076.2812	1.014776587
32500000	-136072.1094	1.010296226
32600000	-136032.9531	1.007568121
32700000	-136071.4062	1.006235838
32800000	-136136.7344	0.9932405949
32900000	-136139.1562	0.9861421585
33000000	-136208.9062	0.9844389558
33100000	-136285.1094	0.9892549515
33200000	-136462.8125	1.002141953
33300000	-136351.9062	0.9908398986
33400000	-136249.1406	0.989641726
33500000	-136272.7812	0.9778484106
33600000	-136525.0156	1.006869555
33700000	-136383.1719	0.9959526062
33800000	-136240.5625	0.9965093136
33900000	-136328	0.9917609096
34000000	-136358.8594	1.013269186
34100000	-136364	1.005277157
34200000	-136336.5	1.000069499
34300000	-136469.4844	1.020337105
34400000	-136444.9688	0.993493259
34500000	-136350.5625	0.9948082566
34600000	-136507.9219	0.9988325834
34700000	-136641.2656	1.016411781
34800000	-136375.8281	0.9861088395
34900000	-136348.2969	1.011676073
35000000	-136214.9219	0.9944161177
35100000	-136518.1875	0.9984543324
35200000	-136732.8281	0.9861599803
35300000	-136800.4219	0.9979146123
35400000	-136801.375	0.9878380895
35500000	-136751.875	0.9878857732
35600000	-136877.1406	1.017785668
35700000	-136680.7031	1.013710856
35800000	-136811.75	1.002042651
35900000	-136890.4219	1.004325628
36000000	-136811.4844	0.9985467792
36100000	-136753.9375	0.9813531637
36200000	-136951.6406	1.001703143
36300000	-136793.7188	1.000673413
36400000	-136938.9219	1.016203403
36500000	-137018.625	1.006860614
36600000	-136959.4375	1.003275514
36700000	-137176.125	1.010056257
