timestep	potential_energy	temperature
0	-0.04665196687	0
100000	-495.887085	0.7193458676
200000	-669.7905273	0.9036536813
300000	-901.6005249	0.9789386988
400000	-1088.855103	1.015860915
500000	-1279.412842	1.023560405
600000	-1499.366333	1.022465467
700000	-1724.81897	1.030884624
800000	-1892.401367	1.030367255
900000	-2069.852051	1.014762282
1000000	-2275.350098	1.032855511
1100000	-2499.068848	1.0200032
1200000	-2660.899902	1.003496647
1300000	-2788.330566	1.01996243
1400000	-2996.597656	1.018433452
1500000	-3205.121094	1.014863729
1600000	-3386.008301	1.017038584
1700000	-3547.658691	1.020522475
1800000	-3695.886719	1.019135714
1900000	-3817.805176	1.012474656
2000000	-3998.6875	1.011654496
2100000	-4136.394043	1.01181674
2200000	-4443.125	1.031966686
2300000	-4639.944336	1.034038067
2400000	-4897.217285	1.021254063
2500000	-5026.885742	1.019174576
2600000	-5151.46875	1.016527772
2700000	-5236.021484	1.018575311
2800000	-5433.25293	1.016046405
2900000	-5579.500977	0.995090425
3000000	-5696.08252	0.9984316826
3100000	-5818.403809	1.00966692
3200000	-5917.806641	1.006427288
3300000	-5971.303711	1.014923096
3400000	-6171.971191	1.020491123
3500000	-6409.79834	1.010927796
3600000	-6515.064453	0.9947775602
3700000	-6629.547852	1.002480984
3800000	-6778.620117	1.011364579
3900000	-6984.328613	1.022684455
4000000	-7101.65625	1.012308002
4100000	-7243.078125	1.014801383
4200000	-7464.320312	1.020260334
4300000	-7595.424805	1.025141001
4400000	-7616.53125	0.9913209677
4500000	-7744.71582	1.0151124
4600000	-7872.256836	1.035354495
4700000	-8072.229004	1.011069417
4800000	-8309.899414	1.024712563
4900000	-8452.388672	1.010813475
5000000	-8664.706055	1.009746075
5100000	-8745.576172	1.005970597
5200000	-8839.067383	1.01646769
5300000	-8928.658203	1.0032022
5400000	-8977.924805	0.9969756603
5500000	-9160.132812	0.97965312
5600000	-9357.597656	0.9953073859
5700000	-9430.31543	0.9954632521
5800000	-9461.023438	1.012945056
5900000	-9586.986328	1.011231899
6000000	-9630.158203	1.008494377
6100000	-9739.751953	1.004836202
6200000	-9881.950195	1.018705964
6300000	-10009.59766	1.007983804
6400000	-10133.72949	1.008878827
6500000	-10319.03125	1.02728188
6600000	-10391.66992	1.026581049
6700000	-10560.38184	1.013507009
6800000	-10500.75	0.9907637835
6900000	-10664.07812	0.9969471693
7000000	-10701.43945	1.017801881
7100000	-10809.01758	1.024219036
7200000	-10856.12598	1.009169102
7300000	-10951.74609	1.007640481
7400000	-11003.56738	1.007156014
7500000	-11085.06836	1.006295919
7600000	-11273.94922	1.010219574
7700000	-11349.21484	0.9942396283
7800000	-11457.93652	1.003539443
7900000	-11483.47168	0.9921978116
8000000	-11655.28809	1.012792945
8100000	-11757.28906	1.005230665
8200000	-11776.24219	1.009185553
8300000	-11695.04199	0.9960865974
8400000	-11781.80273	1.003620148
8500000	-11934.56738	1.001658916
8600000	-12106.125	1.012246966
8700000	-12248.6377	1.009777546
8800000	-12226.78809	0.9867193103
8900000	-12345.25293	0.998655498
9000000	-12449.01953	0.9908670783
9100000	-12615.53809	1.008654594
9200000	-12560.29688	1.005242705
9300000	-12655.61426	0.9990797043
9400000	-12698.69922	0.9936422706
9500000	-12762.16211	1.005710363
9600000	-12829.38086	0.9998739958
9700000	-13093.86719	1.005341887
9800000	-13164.66992	1.017635584
9900000	-13225.4082	1.00917232
10000000	-13402.06836	1.015656829
10100000	-13429.21973	1.007095575
10200000	-13509.71289	1.024723411
10300000	-13420.62695	1.015831828
10400000	-13486.52344	0.9980118871
10500000	-13524.0957	0.9962183833
10600000	-13773.89844	0.9969997406
10700000	-13764.38965	1.005102038
10800000	-13894.74609	0.9933539629
10900000	-13984.19824	1.015207648
11000000	-14058.52539	1.001650333
11100000	-14118.80078	0.9850324988
11200000	-14260.20312	1.011434436
11300000	-14260.0918	1.011034727
11400000	-14378.82422	1.010232806
11500000	-14378.0127	0.9891741276
11600000	-14387.12012	0.9990163445
11700000	-14357.92188	0.9999731779
11800000	-14503.69629	1.004996896
11900000	-14536.37109	1.011971474
12000000	-14683.84961	1.010546446
12100000	-14731.625	1.021070123
12200000	-14772.82422	0.9972895384
12300000	-14837.92285	0.9894577265
12400000	-14840.1084	0.990436852
12500000	-14922.25977	1.012155056
12600000	-14829.30469	1.005503178
12700000	-14923.2627	1.014657974
12800000	-14930.80469	1.001244068
12900000	-14911.70898	1.007910728
13000000	-15092.08398	1.011664987
13100000	-15169.39941	1.003050327
13200000	-15143.22266	0.984815836
13300000	-15172.46289	0.9912501574
13400000	-15161.70703	1.003168941
13500000	-15288.84863	0.9956917167
13600000	-15473.8125	1.006621599
13700000	-15390.38477	1.005263925
13800000	-15359.44238	0.995449543
13900000	-15437.44629	0.9961979389
14000000	-15424.36426	0.9867631197
14100000	-15481.06543	0.9770725965
14200000	-15541.05762	1.006170988
14300000	-15613.8125	1.011315703
14400000	-15629.73047	1.005764008
14500000	-15645.32617	1.007508397
14600000	-15829.52539	1.011874557
14700000	-15735.43262	1.005831718
14800000	-15762.09766	1.008816004
14900000	-15806.17969	1.005031466
15000000	-15848.49414	0.9981590509
15100000	-15880.38477	1.000106573
15200000	-16011.30371	1.016158223
15300000	-16002.52051	1.009369135
15400000	-16143.59863	0.9993731976
15500000	-16257.70996	1.008336306
15600000	-16250.08398	0.9993421435
15700000	-16320.58594	0.9927024245
15800000	-16382.18555	0.9904108047
15900000	-16455.4707	0.9925168157
16000000	-16446.04688	0.9918103218
16100000	-16323.03418	0.9954732656
16200000	-16367.85254	1.004795074
16300000	-16436.7832	1.00122118
16400000	-16708.45703	1.017747521
16500000	-16636.10742	1.011312008
16600000	-16707.33984	0.9999138713
16700000	-16671.01172	1.004823685
16800000	-16629.40625	1.015767217
16900000	-16620.65234	1.013725758
17000000	-16675.61328	1.019552946
17100000	-16826.23438	1.011762738
17200000	-16789.79688	1.000510693
17300000	-16900.61719	1.026856065
17400000	-17009.86719	1.012682438
17500000	-17048.69922	0.9974633455
17600000	-17143.23438	1.005078077
17700000	-17009.89844	1.002300262
17800000	-17158.60547	0.9981442094
17900000	-17188.39648	0.9916215539
18000000	-17152.30859	1.001973987
18100000	-17249.54297	1.009941459
18200000	-17057.69531	0.9863220453
18300000	-17051.48438	0.9962884188
18400000	-17073.04688	1.00529182
18500000	-17157.7168	0.9991514087
18600000	-17185.3125	1.004155278
18700000	-17230.40625	0.9959528446
18800000	-17336.67188	1.01761508
18900000	-17186.14453	0.9980413914
19000000	-17319.98828	0.9929748774
19100000	-17406.50977	0.9993470311
19200000	-17417.86328	1.003659248
19300000	-17392.55859	0.9811993837
19400000	-17572.14062	1.011721015
19500000	-17575.82227	1.016520143
19600000	-17716.74609	1.006058574
19700000	-17585.89062	1.006102562
19800000	-17531.45703	1.001433015
19900000	-17593.54883	1.025712967
20000000	-17554.86914	1.007924795
20100000	-17699.19727	1.005568147
20200000	-17720.01758	0.995764792
20300000	-17767.53516	1.000738144
20400000	-17909.60547	0.9843316674
20500000	-17946.58594	0.9984945059
20600000	-17963.85156	1.00642395
20700000	-17906.19141	1.000048757
20800000	-18044.125	1.000840187
20900000	-18004.27734	1.012044787
21000000	-18140.47852	1.020403147
21100000	-18052.77148	1.002229214
21200000	-18112.89062	0.9967746139
21300000	-18112.85742	0.9953102469
21400000	-18123.42578	1.004322171
21500000	-18102.02344	0.9993284941
21600000	-18210.16211	0.9944937825
21700000	-18285.82812	0.9796372056
21800000	-18299.98438	0.9971834421
21900000	-18348.07227	0.9922311306
22000000	-18261	1.000390649
22100000	-18328.95117	1.013771057
22200000	-18195.29688	0.9917917848
22300000	-18269.35938	0.9827312231
22400000	-18348.80078	0.9983260632
22500000	-18370.47656	0.9974450469
22600000	-18377.99414	0.9974130392
22700000	-18451.57031	0.9943807125
22800000	-18518.53125	0.9841595292
22900000	-18555.98047	0.9960329533
23000000	-18601.36523	0.9982449412
23100000	-18630.72656	1.005617976
23200000	-18670.57617	1.002142668
23300000	-18762.18359	1.012626886
23400000	-18655.9082	1.01349318
23500000	-18703.20898	0.9963798523
23600000	-18616.16406	0.9953838587
23700000	-18681.06641	1.017917991
23800000	-18688.78516	1.010792613
23900000	-18638.4375	0.9930360913
24000000	-18816.33594	1.005951643
24100000	-18867.27734	0.9987073541
24200000	-18732.95898	0.9887108207
24300000	-18795.07031	0.9965292811
24400000	-18709.33984	0.972558558
24500000	-18704.79297	0.9931759834
24600000	-18738.8457	0.9945606589
24700000	-18684.32031	0.9881455302
24800000	-18624.60547	1.003290057
24900000	-18745.44141	0.9857107401
25000000	-18773.94727	0.9903048277
25100000	-18745.98047	1.009238124
25200000	-18826.57031	1.00026381
25300000	-18792.43945	1.003668189
25400000	-18835.07031	0.9968445301
25500000	-18862.26172	1.00635922
25600000	-18715.94922	1.013222456
25700000	-18740.05469	1.022771358
25800000	-18697.55859	1.002034307
25900000	-18751.69141	0.9961690903
26000000	-18816.59766	1.000967026
26100000	-18932.26172	1.013117075
26200000	-18925.55664	0.9989318252
26300000	-18948.32031	1.003098011
26400000	-19021.20312	1.02429831
26500000	-19002.41016	1.008439302
26600000	-18993.76172	1.008862019
26700000	-19136.33203	1.003781319
26800000	-19105.51172	0.9970819354
26900000	-19062.4707	1.011098862
27000000	-19138.21875	1.0159235
27100000	-19073.00586	0.9861643314
27200000	-19164.50391	1.000257134
27300000	-19279.45117	1.003577948
27400000	-19209.75781	1.003916144
27500000	-19177.45703	0.9865114093
27600000	-19149.35547	1.001452446
27700000	-19320.88086	1.009009004
27800000	-19232.48047	0.9947955608
27900000	-19443.76367	1.007686853
28000000	-19223.49609	0.9855539203
28100000	-19249.60156	1.004777312
28200000	-19262.14844	1.022996902
28300000	-19267.08203	1.004570603
28400000	-19378.91797	1.002980471
28500000	-19272.5625	0.9813172817
28600000	-19250.85156	0.9838658571
28700000	-19286.94531	0.9939933419
28800000	-19228.55078	1.00429678
28900000	-19289.07031	1.01649034
29000000	-19323.36719	0.9983940721
29100000	-19164.97656	1.014791012
29200000	-19134.51953	0.9983506203
29300000	-19138.40234	1.015652657
29400000	-19047.13672	0.9961615801
29500000	-19134.5625	1.00744009
29600000	-19189.25	1.016771197
29700000	-19178.42969	0.9963386059
29800000	-19084.85156	0.9852256179
29900000	-19216.60547	1.008764267
30000000	-19252.69531	1.016738057
30100000	-19177.22266	1.016955018
30200000	-19312.21875	1.014225602
30300000	-19339.12305	1.017719865
30400000	-19282.23242	1.012177587
30500000	-19341.82422	1.000154018
30600000	-19452.62695	1.009474635
30700000	-19464.57812	1.000811219
30800000	-19558.64844	0.9796090722
30900000	-19620.94531	1.00277853
31000000	-19756.05078	0.9835324883
31100000	-19851.35156	1.005368233
31200000	-19744.12109	0.9919145107
31300000	-19763.57422	1.013344765
31400000	-19766.00781	0.9894350767
31500000	-19849.37891	0.9916058183
31600000	-19847.77344	1.004954696
31700000	-19864.19531	1.00782752
31800000	-19933.06641	0.9960686564
31900000	-19942.86719	0.9939323664
32000000	-19882.625	0.9898927212
32100000	-19990.86328	0.9954916239
32200000	-19870.80859	1.002977729
32300000	-19899.67969	1.002152085
32400000	-19861.51953	1.007005215
32500000	-19820.35156	1.00855279
32600000	-19925.96875	0.9987508655
32700000	-19980.69922	1.010816216
32800000	-19948.74023	1.014763236
32900000	-19958.13281	1.008192182
33000000	-19964.74219	0.9996421337
33100000	-20101.51562	0.9941771626
33200000	-19981.88281	0.9717104435
33300000	-20171.11328	0.9918984175
33400000	-20179.75781	1.013425827
33500000	-20054.34766	1.006324887
33600000	-19963.70703	0.989084065
33700000	-20080.4375	0.9864150286
33800000	-20067.79297	0.9824150205
33900000	-20166.19336	0.9948402047
34000000	-20053.96484	0.9923414588
34100000	-20089.34375	1.002547979
34200000	-19960.64062	0.9945204854
34300000	-19857.375	0.987570107
34400000	-19774.06055	1.004140139
34500000	-19891.51758	1.009491801
34600000	-19856.67969	1.001160979
34700000	-19801.625	0.991805613
34800000	-19783.50195	1.009178996
34900000	-19659.26953	1.003100395
35000000	-19778.34766	1.001364231
35100000	-19799.67969	0.9925628304
35200000	-19820.24219	0.9829428196
35300000	-19923.28125	0.9907220006
35400000	-19821.7793	0.9889621139
35500000	-19891.7793	1.003004909
35600000	-19859.47656	1.001097918
35700000	-19945.08203	1.00372839
35800000	-20005.14062	1.008296609
35900000	-20128.77734	1.008939028
36000000	-20006.60156	0.9979499578
36100000	-20204.42969	1.013545036
36200000	-20278.13086	1.021899104
36300000	-20266.70703	1.01034236
36400000	-20184.84766	0.9982600808
36500000	-20099.04102	1.00307107
36600000	-20150.70117	1.002974033
36700000	-20242.04688	1.005486369
36800000	-20242.77734	1.013163567
36900000	-20262.23633	0.996440053
37000000	-20306.63281	1.010600328
37100000	-20177.19531	1.013722777
37200000	-20191.6543	0.9984424114
37300000	-20288.23242	1.005241156
37400000	-20220.4375	0.9927598238
37500000	-20233.05469	0.9989851713
37600000	-20270.08984	0.9872029424
37700000	-20239.53906	0.9783011079
37800000	-20209.72266	0.9964205623
37900000	-20233.16406	0.9931601882
38000000	-20332.79492	1.002539158
38100000	-20348.73047	1.003877282
38200000	-20274.67773	0.9937403798
38300000	-20246.86914	1.006949067
