# Distance                   Potential                   Force
2.100105000000000359e+02 5.998992948967304255e+04 1.792978863150838763e+06
2.100306627000000219e+02 4.229307936326776689e+04 4.695281422828357900e+05
2.100508254000000079e+02 3.545951973920896125e+04 2.495511679773194192e+05
2.100709880999999939e+02 3.139468834498971046e+04 1.642845726671725279e+05
2.100911507999999799e+02 2.856893244330176094e+04 1.201385252167198196e+05
2.101113134999999659e+02 2.643484036306005873e+04 9.353855665917544684e+04
2.101314761999999519e+02 2.473746440381943466e+04 7.592748459658899810e+04
2.101516388999999378e+02 2.333863073109206016e+04 6.349187688911392615e+04
2.101718015999999238e+02 2.215557955821825090e+04 5.428912136267402821e+04
2.101919642999999098e+02 2.113507680957954290e+04 4.723121606251869525e+04
2.102121269999998958e+02 2.024099437283003863e+04 4.166397800953084516e+04
2.102322896999998818e+02 1.944776554449706964e+04 3.717172266817302443e+04
2.102524523999998678e+02 1.873667924006909379e+04 3.347835298253212386e+04
2.102726150999998538e+02 1.809365847532101543e+04 3.039370247331308565e+04
2.102927777999998398e+02 1.750786535473150434e+04 2.778275518885182464e+04
2.103129404999998258e+02 1.697079063041751942e+04 2.554715168488634299e+04
2.103331031999998117e+02 1.647563984107764190e+04 2.361363423903112198e+04
2.103532658999997977e+02 1.601690771316465180e+04 2.192658224094215984e+04
2.103734285999997837e+02 1.559007587083040016e+04 2.044304837465739547e+04
2.103935912999997697e+02 1.519139354096175339e+04 1.912937322141321420e+04
2.104137539999997557e+02 1.481771547050272056e+04 1.795882427685998846e+04
2.104339166999997417e+02 1.446638012561519463e+04 1.690991641976989195e+04
2.104540793999997277e+02 1.413511679193215605e+04 1.596519575473730401e+04
2.104742420999997137e+02 1.382197376409738899e+04 1.511034480637565321e+04
2.104944047999996997e+02 1.352526216082654537e+04 1.433351456524520290e+04
2.105145674999996857e+02 1.324351147854955161e+04 1.362481927470291339e+04
2.105347301999996716e+02 1.297543407546297203e+04 1.297594969127118566e+04
2.105548928999996576e+02 1.271989652842946816e+04 1.237987375737348520e+04
2.105750555999996436e+02 1.247589633556354238e+04 1.183060256844445030e+04
2.105952182999996296e+02 1.224254281748889480e+04 1.132300566996959242e+04
2.106153809999996156e+02 1.201904134628679276e+04 1.085266401669575862e+04
2.106355436999996016e+02 1.180468023402141625e+04 1.041575196734243582e+04
2.106557063999995876e+02 1.159881976349675642e+04 1.000894186775920934e+04
2.106758690999995736e+02 1.140088295711874161e+04 9.629326355995433914e+03
2.106960317999995596e+02 1.121034776558528574e+04 9.274354681376124063e+03
2.107161944999995455e+02 1.102674042381314030e+04 8.941780187702950570e+03
2.107363571999995315e+02 1.084962977219637651e+04 8.629616752183970675e+03
2.107565198999995175e+02 1.067862238071540560e+04 8.336102455587606528e+03
2.107766825999995035e+02 1.051335834430839350e+04 8.059669127205749646e+03
2.107968452999994895e+02 1.035350764229707602e+04 7.798916690432416544e+03
2.108170079999994755e+02 1.019876697402664831e+04 7.552591452768521776e+03
2.108371706999994615e+02 1.004885699836221283e+04 7.319567653652818990e+03
2.108573333999994475e+02 9.903519917135474316e+03 7.098831716329178562e+03
2.108774960999994335e+02 9.762517352704648147e+03 6.889468754626821465e+03
2.108976587999994194e+02 9.625628477977705188e+03 6.690650968514032684e+03
2.109178214999994054e+02 9.492648363939355477e+03 6.501627628454886690e+03
2.109379841999993914e+02 9.363386515216352564e+03 6.321716401647725434e+03
2.109581468999993774e+02 9.237665568747783254e+03 6.150295815975223377e+03
2.109783095999993634e+02 9.115320134382694960e+03 5.986798692118670260e+03
2.109984722999993494e+02 8.996195759352009190e+03 5.830706402461672042e+03
