# Distance                   Potential                   Force
2.000100000000000193e+02 5.754827678702927369e+04 1.814902477500871290e+06
2.000301628000000278e+02 4.004168035401254019e+04 4.563647469153504353e+05
2.000503256000000363e+02 3.342905296268465463e+04 2.405327287529623136e+05
2.000704884000000447e+02 2.951863445024258181e+04 1.577597255220734805e+05
2.000906512000000532e+02 2.680810287737912950e+04 1.151169351483431674e+05
2.001108140000000617e+02 2.476472455169873137e+04 8.949720680607014219e+04
2.001309768000000702e+02 2.314157159090842470e+04 7.256753970035810198e+04
2.001511396000000786e+02 2.180521732757659629e+04 6.062933604102290701e+04
2.001713024000000871e+02 2.067591071623215612e+04 5.180367630733666738e+04
2.001914652000000956e+02 1.970243108629390917e+04 4.504035401440837450e+04
2.002116280000001041e+02 1.885005737753531503e+04 3.970888651043538266e+04
2.002317908000001125e+02 1.809424138328501431e+04 3.540913848889467772e+04
2.002519536000001210e+02 1.741703094778266677e+04 3.187560421411551215e+04
2.002721164000001295e+02 1.680492849791360641e+04 2.892556238235929050e+04
2.002922792000001380e+02 1.624754770674040992e+04 2.642937279778067023e+04
2.003124420000001464e+02 1.573673754667064532e+04 2.429264808597000956e+04
2.003326048000001549e+02 1.526599212675367744e+04 2.244512481493304222e+04
2.003527676000001634e+02 1.483004178737364236e+04 2.083347956598989913e+04
2.003729304000001719e+02 1.442456282974460373e+04 1.941655496495202169e+04
2.003930932000001803e+02 1.404596704412587314e+04 1.816210568145952493e+04
2.004132560000001888e+02 1.369124621627314627e+04 1.704453026553202290e+04
2.004334188000001973e+02 1.335785532363117454e+04 1.604325839544203336e+04
2.004535816000002058e+02 1.304362347804935416e+04 1.514158356301407184e+04
2.004737444000002142e+02 1.274668510722598694e+04 1.432580452811989926e+04
2.004939072000002227e+02 1.246542612607528099e+04 1.358458465128334501e+04
2.005140700000002312e+02 1.219844136549777068e+04 1.290846747006701844e+04
2.005342328000002396e+02 1.194450056293197667e+04 1.228950597956479760e+04
2.005543956000002481e+02 1.170252094024979851e+04 1.172097577953163818e+04
2.005745584000002566e+02 1.147154490398147755e+04 1.119715084895709879e+04
2.005947212000002651e+02 1.125072176784356452e+04 1.071312662288669890e+04
2.006148840000002735e+02 1.103929266248761633e+04 1.026467917427213615e+04
2.006350468000002820e+02 1.083657799204802723e+04 9.848152224366271184e+03
2.006552096000002905e+02 1.064196694169815419e+04 9.460365797905453292e+03
2.006753724000002990e+02 1.045490864900766974e+04 9.098541856411691697e+03
2.006955352000003074e+02 1.027490473420841954e+04 8.760243354786534837e+03
2.007156980000003159e+02 1.010150294744451821e+04 8.443323989542901472e+03
2.007358608000003244e+02 9.934291739661393876e+03 8.145886522310312102e+03
2.007560236000003329e+02 9.772895601566175174e+03 7.866248026280724844e+03
2.007761864000003413e+02 9.616971044689713381e+03 7.602910756173302616e+03
2.007963492000003498e+02 9.466203121934593582e+03 7.354537612828868987e+03
2.008165120000003583e+02 9.320302403542633328e+03 7.119931382481914625e+03
2.008366748000003668e+02 9.179002339242510061e+03 6.898017093266705160e+03
2.008568376000003752e+02 9.042056949259200337e+03 6.687826958758241744e+03
2.008770004000003837e+02 8.909238796507266670e+03 6.488487478613696112e+03
2.008971632000003922e+02 8.780337200126525204e+03 6.299208345862371061e+03
2.009173260000004007e+02 8.655156656922094044e+03 6.119272873760686707e+03
2.009374888000004091e+02 8.533515442528801941e+03 5.948029705925839153e+03
2.009576516000004176e+02 8.415244368456333177e+03 5.784885614392848765e+03
2.009778144000004261e+02 8.300185674765096337e+03 5.629299223384671677e+03
2.009979772000004346e+02 8.188192041111979961e+03 5.480775523551833430e+03
2.010181400000004430e+02 8.079125701402756931e+03 5.338861063477775133e+03
2.010383028000004515e+02 7.972857649381840019e+03 5.203139723336636962e+03
2.010584656000004600e+02 7.869266924252880926e+03 5.073228990501235785e+03
2.010786284000004684e+02 7.768239966912548880e+03 4.948776669237705391e+03
2.010987912000004769e+02 7.669670038641516840e+03 4.829457966872815632e+03
2.011189540000004854e+02 7.573456695169719751e+03 4.714972907364948696e+03
2.011391168000004939e+02 7.479505309948174727e+03 4.605044030358945747e+03
2.011592796000005023e+02 7.387726641242412370e+03 4.499414339806578027e+03
2.011794424000005108e+02 7.298036438334646846e+03 4.397845471289036141e+03
2.011996052000005193e+02 7.210355082699641571e+03 4.300116051448329927e+03
2.012197680000005278e+02 7.124607260518056137e+03 4.206020226553339853e+03
2.012399308000005362e+02 7.040721663322414315e+03 4.115366340302015487e+03
2.012600936000005447e+02 6.958630713944908166e+03 4.027975743582540417e+03
2.012802564000005532e+02 6.878270315261444011e+03 3.943681721156636286e+03
2.013004192000005617e+02 6.799579619509690929e+03 3.862328522147757212e+03
2.013205820000005701e+02 6.722500816206286800e+03 3.783770482865981649e+03
2.013407448000005786e+02 6.646978936904998591e+03 3.707871231921532399e+03
2.013609076000005871e+02 6.572961675227469641e+03 3.634502968804647480e+03
2.013810704000005956e+02 6.500399220765189057e+03 3.563545808170202690e+03
2.014012332000006040e+02 6.429244105598325405e+03 3.494887182985143681e+03
2.014213960000006125e+02 6.359451062306731728e+03 3.428421300496054300e+03
2.014415588000006210e+02 6.290976892463116201e+03 3.364048645670202404e+03
2.014617216000006295e+02 6.223780344699914167e+03 3.301675527370801774e+03
2.014818844000006379e+02 6.157822001531495516e+03 3.241213663058250404e+03
2.015020472000006464e+02 6.093064174193356848e+03 3.182579798274414770e+03
2.015222100000006549e+02 6.029470804831236819e+03 3.125695357575265916e+03
2.015423728000006633e+02 5.967007375436655821e+03 3.070486123936304921e+03
2.015625356000006718e+02 5.905640822982064492e+03 3.016881943971405690e+03
2.015826984000006803e+02 5.845339460259608131e+03 2.964816456584780099e+03
2.016028612000006888e+02 5.786072901972876934e+03 2.914226842922380001e+03
2.016230240000006972e+02 5.727811995671887416e+03 2.865053595707407567e+03
2.016431868000007057e+02 5.670528757158099324e+03 2.817240306238177709e+03
2.016633496000007142e+02 5.614196310019238808e+03 2.770733467498501795e+03
2.016835124000007227e+02 5.558788828983400890e+03 2.725482291983652885e+03
2.017036752000007311e+02 5.504281486808601585e+03 2.681438542981188675e+03
2.017238380000007396e+02 5.450650404448249901e+03 2.638556378167342700e+03
2.017440008000007481e+02 5.397872604254708676e+03 2.596792204488234802e+03
2.017641636000007566e+02 5.345925966003010217e+03 2.556104543392182222e+03
2.017843264000007650e+02 5.294789185534716125e+03 2.516453905566307640e+03
2.018044892000007735e+02 5.244441735838115164e+03 2.477802674408617349e+03
2.018246520000007820e+02 5.194863830395835976e+03 2.440114997536685223e+03
2.018448148000007905e+02 5.146036388644291947e+03 2.403356685697008743e+03
2.018649776000007989e+02 5.097941003401727357e+03 2.367495118495780389e+03
2.018851404000008074e+02 5.050559910132689765e+03 2.332499156422800752e+03
2.019053032000008159e+02 5.003875957926982665e+03 2.298339058686389308e+03
2.019254660000008244e+02 4.957872582080462053e+03 2.264986406418679053e+03
2.019456288000008328e+02 4.912533778173489736e+03 2.232414030848355651e+03
2.019657916000008413e+02 4.867844077550691509e+03 2.200595946071920935e+03
2.019859544000008498e+02 4.823788524112721461e+03 2.169507286085432952e+03
2.020061172000008582e+02 4.780352652337322979e+03 2.139124245766679451e+03
2.020262800000008667e+02 4.737522466452939625e+03 2.109424025523128421e+03
2.020464428000008752e+02 4.695284420693653374e+03 2.080384779344157778e+03
2.020666056000008837e+02 4.653625400569217163e+03 2.051985566017040128e+03
2.020867684000008921e+02 4.612532705088726289e+03 2.024206303285342983e+03
2.021069312000009006e+02 4.571994029880636845e+03 1.997027724745835030e+03
2.021270940000009091e+02 4.531997451155822091e+03 1.970431339295937505e+03
2.021472568000009176e+02 4.492531410464074725e+03 1.944399392958279577e+03
2.021674196000009260e+02 4.453584700197709935e+03 1.918914832922229152e+03
2.021875824000009345e+02 4.415146449799075526e+03 1.893961273654438628e+03
2.022077452000009430e+02 4.377206112631700307e+03 1.869522964941542568e+03
2.022279080000009515e+02 4.339753453477361290e+03 1.845584761738408133e+03
2.022480708000009599e+02 4.302778536623902255e+03 1.822132095704643234e+03
2.022682336000009684e+02 4.266271714510821766e+03 1.799150948320697353e+03
2.022883964000009769e+02 4.230223616901899732e+03 1.776627825482750495e+03
2.023085592000009854e+02 4.194625140555892358e+03 1.754549733482868078e+03
2.023287220000009938e+02 4.159467439368333544e+03 1.732904156287553178e+03
2.023488848000010023e+02 4.124741914959046881e+03 1.711679034033983271e+03
2.023690476000010108e+02 4.090440207681604079e+03 1.690862742668869942e+03
2.023892104000010193e+02 4.056554188032371258e+03 1.670444074660113984e+03
2.024093732000010277e+02 4.023075948438230625e+03 1.650412220716234060e+03
2.024295360000010362e+02 3.989997795403193322e+03 1.630756752452988394e+03
2.024496988000010447e+02 3.957312241995486147e+03 1.611467605950746474e+03
2.024698616000010531e+02 3.925012000657587123e+03 1.592535066149923068e+03
2.024900244000010616e+02 3.893089976322897201e+03 1.573949752035339543e+03
2.025101872000010701e+02 3.861539259823533484e+03 1.555702602563614391e+03
2.025303500000010786e+02 3.830353121574771194e+03 1.537784863290693920e+03
2.025505128000010870e+02 3.799525005522365063e+03 1.520188073659444626e+03
2.025706756000010955e+02 3.769048523339878557e+03 1.502904054909801516e+03
2.025908384000011040e+02 3.738917448863779100e+03 1.485924898576388841e+03
2.026110012000011125e+02 3.709125712754816050e+03 1.469242955540751154e+03
2.026311640000011209e+02 3.679667397374790198e+03 1.452850825607409206e+03
2.026513268000011294e+02 3.650536731868504376e+03 1.436741347574893325e+03
2.026714896000011379e+02 3.621728087441093521e+03 1.420907589774692042e+03
2.026916524000011464e+02 3.593235972821646101e+03 1.405342841052727863e+03
2.027118152000011548e+02 3.565055029904414369e+03 1.390040602169530757e+03
2.027319780000011633e+02 3.537180029559349350e+03 1.374994577596725321e+03
2.027521408000011718e+02 3.509605867604267587e+03 1.360198667688796831e+03
2.027723036000011803e+02 3.482327560931209064e+03 1.345646961210376503e+03
2.027924664000011887e+02 3.455340243780052788e+03 1.331333728200443375e+03
2.028126292000011972e+02 3.428639164152767989e+03 1.317253413155947555e+03
2.028327920000012057e+02 3.402219680361997689e+03 1.303400628518396843e+03
2.028529548000012142e+02 3.376077257708076104e+03 1.289770148447883912e+03
2.028731176000012226e+02 3.350207465278794189e+03 1.276356902869952364e+03
2.028932804000012311e+02 3.324605972866548200e+03 1.263155971781524613e+03
2.029134432000012396e+02 3.299268547997806763e+03 1.250162579802904474e+03
2.029336060000012480e+02 3.274191053070062026e+03 1.237372090963606524e+03
2.029537688000012565e+02 3.249369442591628740e+03 1.224780003710443225e+03
2.029739316000012650e+02 3.224799760519951633e+03 1.212381946126968842e+03
2.029940944000012735e+02 3.200478137694278303e+03 1.200173671353944883e+03
