# Distance                   Potential                   Force
2.000100000000000193e+02 5.754824967420918983e+04 1.814905183548192494e+06
2.000313000000000159e+02 3.953451878203833621e+04 4.357236762183608953e+05
2.000526000000000124e+02 3.289680870272315951e+04 2.275905844914865447e+05
2.000739000000000090e+02 2.899596367329491113e+04 1.486955875696522708e+05
2.000952000000000055e+02 2.630007243906257281e+04 1.082688106086778716e+05
2.001165000000000020e+02 2.427130005492802229e+04 8.405636512991799100e+04
2.001377999999999986e+02 2.266164146474067093e+04 6.808947708780204994e+04
2.001590999999999951e+02 2.133752079933860659e+04 5.684655561809644132e+04
2.001803999999999917e+02 2.021927576278019842e+04 4.854391414679435547e+04
2.002016999999999882e+02 1.925582641561914716e+04 4.218673910165277630e+04
2.002229999999999848e+02 1.841259056203095315e+04 3.717879337517751264e+04
2.002442999999999813e+02 1.766514249307443242e+04 3.314217192198348494e+04
2.002655999999999779e+02 1.699563407118849136e+04 2.982638649749954129e+04
2.002868999999999744e+02 1.639065492081018601e+04 2.705920273862481918e+04
2.003081999999999709e+02 1.583989163924522290e+04 2.471851156022529904e+04
2.003294999999999675e+02 1.533525433312826317e+04 2.271546509462016184e+04
2.003507999999999640e+02 1.487028859958436988e+04 2.098395980353420964e+04
2.003720999999999606e+02 1.443976838707591924e+04 1.947385320522820257e+04
2.003933999999999571e+02 1.403940715203633954e+04 1.814645939220998480e+04
2.004146999999999537e+02 1.366564853230524750e+04 1.697148065223189042e+04
2.004359999999999502e+02 1.331551177187990106e+04 1.592486988438518711e+04
2.004572999999999467e+02 1.298647565530215616e+04 1.498731145085870412e+04
2.004785999999999433e+02 1.267639004631943499e+04 1.414312210435856468e+04
2.004998999999999398e+02 1.238340755293341499e+04 1.337944295987824262e+04
2.005211999999999364e+02 1.210593009341785910e+04 1.268563674514930790e+04
2.005424999999999329e+02 1.184256664901389922e+04 1.205283219959040616e+04
2.005637999999999295e+02 1.159209952189350588e+04 1.147357551853846962e+04
2.005850999999999260e+02 1.135345713506627544e+04 1.094156072571776895e+04
2.006063999999999226e+02 1.112569191793938808e+04 1.045141896690090289e+04
2.006276999999999191e+02 1.090796218438496544e+04 9.998552293606626336e+03
2.006489999999999156e+02 1.069951717368859863e+04 9.579001396201296302e+03
2.006702999999999122e+02 1.049968461830601700e+04 9.189339497541885066e+03
2.006915999999999087e+02 1.030786034612272124e+04 8.826586589328004266e+03
2.007128999999999053e+02 1.012349953281778471e+04 8.488139621770991653e+03
2.007341999999999018e+02 9.946109301714102912e+03 8.171715303766123725e+03
2.007554999999998984e+02 9.775242431043081524e+03 7.875302945409239328e+03
2.007767999999998949e+02 9.610491976794304719e+03 7.597125353580021510e+03
2.007980999999998915e+02 9.451486656828803461e+03 7.335606227788461183e+03
2.008193999999998880e+02 9.297886871316055476e+03 7.089342835361576363e+03
2.008406999999998845e+02 9.149381257733364691e+03 6.857082999406895397e+03
2.008619999999998811e+02 9.005683697073476651e+03 6.637705629397851226e+03
2.008832999999998776e+02 8.866530702616912095e+03 6.430204176962496604e+03
2.009045999999998742e+02 8.731679134451742357e+03 6.233672519028879833e+03
2.009258999999998707e+02 8.600904192485208114e+03 6.047292864684417509e+03
2.009471999999998673e+02 8.473997648463495352e+03 5.870325356772589657e+03
2.009684999999998638e+02 8.350766283865652440e+03 5.702099098770302589e+03
2.009897999999998603e+02 8.231030505750666634e+03 5.542004385194431052e+03
2.010110999999998569e+02 8.114623116935938924e+03 5.389485952220740728e+03
2.010323999999998534e+02 8.001388220447166532e+03 5.244037096317749274e+03
2.010536999999998500e+02 7.891180241142803425e+03 5.105194534013831799e+03
2.010749999999998465e+02 7.783863049890987895e+03 4.972533896603637913e+03
2.010962999999998431e+02 7.679309177752244977e+03 4.845665770579074888e+03
2.011175999999998396e+02 7.577399109367510391e+03 4.724232208563294989e+03
