timestep	potential_energy	temperature
418000000	-104347.7812	0.9900858402
418100000	-104606.125	1.002351761
418200000	-104539.2656	0.9974322915
418300000	-104495.3281	0.9996873736
418400000	-104438.75	0.9920961261
418500000	-104541.5156	0.9937052727
418600000	-104588.7969	1.009107113
418700000	-104453.2344	1.014420986
418800000	-104337.9219	1.00701654
418900000	-104484.2031	1.014518976
419000000	-104565.1484	1.00767529
419100000	-104633.9375	1.015799642
419200000	-104373.6875	1.002251267
419300000	-104556.0391	1.019630671
419400000	-104576.5625	1.023705244
419500000	-104510.875	1.013500571
419600000	-104627.0781	1.021171689
419700000	-104542.5	1.007315755
419800000	-104642.7656	1.008675694
419900000	-104647.9062	1.006998897
420000000	-104827.2031	1.019651413
420100000	-104824.8125	1.00290072
420200000	-104787.0469	1.004618883
420300000	-105011.3203	1.01647985
420400000	-105106.9453	1.007235408
420500000	-105237.125	1.014858961
420600000	-105239.4922	1.005374074
420700000	-105334.8125	1.019920111
420800000	-105449.0156	1.02059257
420900000	-105537.3281	1.036872149
421000000	-105421.1562	1.00544107
421100000	-105590.6406	1.00721848
421200000	-105672.8594	1.009171367
421300000	-105551.7188	0.9910526872
421400000	-105502.9609	0.9863279462
421500000	-105721.9062	0.9978016615
421600000	-105659.375	0.9869397879
421700000	-105473.1562	0.9734356999
421800000	-105653.2812	0.9821987748
421900000	-105413.8438	0.982296586
422000000	-105448.8438	0.9883794785
422100000	-105586.7344	1.006156564
422200000	-105523.5	0.9893413782
422300000	-105365.9219	0.992583096
422400000	-105379.8281	0.999139607
422500000	-105496.875	1.001392722
422600000	-105483.7422	0.9986705184
422700000	-105506.2344	0.9978640676
422800000	-105777.125	1.018692613
422900000	-105641.5	0.9987063408
423000000	-105609.5625	1.0007056
423100000	-105591.8281	1.005201221
423200000	-105648.7969	1.013730168
423300000	-105607.0312	1.009899974
423400000	-105662.7109	1.01809752
423500000	-105834.9922	1.026080012
423600000	-105685.6875	1.020359755
423700000	-105849.875	1.025921702
423800000	-105724.25	1.025207758
423900000	-105814.6094	1.027094841
424000000	-105784.3906	1.013584018
424100000	-105868.1094	1.019505262
424200000	-105936.3516	1.00399971
424300000	-105876.2031	0.9986182451
424400000	-105988.5938	1.005045056
424500000	-106119.1719	1.00660038
424600000	-106141.2344	0.9957441688
424700000	-106250.3906	1.013275385
424800000	-106144.9531	1.010791183
424900000	-106191.9922	1.0163728
425000000	-106145.0312	1.025613546
425100000	-106248.3594	1.025244951
425200000	-106263.1172	1.020440102
425300000	-106212.4844	1.009156108
425400000	-106020.0547	0.9974815249
425500000	-106275.3281	1.010695815
425600000	-106332.9609	1.01687789
425700000	-106632.4609	1.019091368
425800000	-106553.6094	1.012134075
425900000	-106550.5781	1.016997099
426000000	-106790.7578	1.015983462
426100000	-106673.2031	0.9955595136
426200000	-106699.2578	0.9925080538
426300000	-106859.3281	1.014822841
426400000	-106801.2734	1.007879257
426500000	-106653.4453	0.9934715629
426600000	-106495.0938	0.9793075323
426700000	-106647.9453	0.9914095998
426800000	-106703.0234	1.000287294
426900000	-106780.2812	0.9879644513
427000000	-106779.2656	1.008041263
427100000	-106822.0469	1.014452934
427200000	-106849.9141	0.9951272607
427300000	-106886.0312	1.002723932
427400000	-106765.0547	1.006755471
427500000	-106717.0078	1.005810857
427600000	-106920.5156	1.019909978
427700000	-106885.8203	1.011406302
427800000	-106768.4062	0.9942609072
427900000	-106988.3125	1.006252646
428000000	-106922.2969	1.02072525
428100000	-106959.0156	1.009754777
