# Distance                   Potential                   Force
1.700085000000000264e+02 5.214260299856510392e+04 1.890340542139679426e+06
1.700301551000000302e+02 3.470346064803235640e+04 3.881597254825289710e+05
1.700518102000000340e+02 2.877897262599082023e+04 1.972728078705278749e+05
1.700734653000000378e+02 2.536150092665533157e+04 1.274510567042498151e+05
1.700951204000000416e+02 2.301952920510777039e+04 9.224704517938299978e+04
1.701167755000000454e+02 2.126545129989551060e+04 7.135811342959734611e+04
1.701384306000000493e+02 1.987787734879010532e+04 5.766639303770989500e+04
1.701600857000000531e+02 1.873870665836764965e+04 4.806670941092561407e+04
1.701817408000000569e+02 1.777796933279768200e+04 4.100006890806303272e+04
1.702033959000000607e+02 1.695101650133388102e+04 3.560253077571018366e+04
1.702250510000000645e+02 1.622773151510864591e+04 3.135882166400378992e+04
1.702467061000000683e+02 1.558690485165589234e+04 2.794361068543844885e+04
1.702683612000000721e+02 1.501307521629486655e+04 2.514193069912190185e+04
1.702900163000000759e+02 1.449464841964743027e+04 2.280635323370834158e+04
1.703116714000000798e+02 1.402272255863663304e+04 2.083258301449360442e+04
1.703333265000000836e+02 1.359032478369712044e+04 1.914487443470484868e+04
1.703549816000000874e+02 1.319189869112261113e+04 1.768696240531776857e+04
1.703766367000000912e+02 1.282295011367383995e+04 1.641622698343062439e+04
1.703982918000000950e+02 1.247979626904449287e+04 1.529982648905964743e+04
1.704199469000000988e+02 1.215938424646800195e+04 1.431206830457113574e+04
1.704416020000001026e+02 1.185915715283881764e+04 1.343258023317553489e+04
1.704632571000001064e+02 1.157695372849979140e+04 1.264501280212172605e+04
1.704849122000001103e+02 1.131093192136713515e+04 1.193610163129458851e+04
1.705065673000001141e+02 1.105950990742675640e+04 1.129497890711755099e+04
1.705282224000001179e+02 1.082132001345260687e+04 1.071266032452107356e+04
1.705498775000001217e+02 1.059517231596112833e+04 1.018165765870244832e+04
1.705715326000001255e+02 1.038002559016778469e+04 9.695682628761274827e+03
1.705931877000001293e+02 1.017496390745759163e+04 9.249418007002757804e+03
1.706148428000001331e+02 9.979177620505051891e+03 8.838338882226742498e+03
1.706364979000001370e+02 9.791947790426869688e+03 8.458571761123535907e+03
1.706581530000001408e+02 9.612633338891399035e+03 8.106782520527607630e+03
1.706798081000001446e+02 9.440660375819483306e+03 7.780086575246766188e+03
1.707014632000001484e+02 9.275513277780080898e+03 7.475976309264492556e+03
1.707231183000001522e+02 9.116727185532774456e+03 7.192262036808211633e+03
1.707447734000001560e+02 8.963881659865972324e+03 6.927023651953574699e+03
1.707664285000001598e+02 8.816595288911650641e+03 6.678570785303620141e+03
1.707880836000001636e+02 8.674521081766639327e+03 6.445409779034497660e+03
1.708097387000001675e+02 8.537342515613154319e+03 6.226216162884387813e+03
1.708313938000001713e+02 8.404770128867912717e+03 6.019811595797707923e+03
1.708530489000001751e+02 8.276538572866089453e+03 5.825144454041898825e+03
1.708747040000001789e+02 8.152404050443413325e+03 5.641273413390696078e+03
1.708963591000001827e+02 8.032142082445965571e+03 5.467353502592011864e+03
1.709180142000001865e+02 7.915545553375732197e+03 5.302624206765990493e+03
1.709396693000001903e+02 7.802422995605631513e+03 5.146399279249641950e+03
1.709613244000001941e+02 7.692597078281178256e+03 4.998057983681485894e+03
1.709829795000001980e+02 7.585903272484481931e+03 4.857037538539127127e+03
1.710046346000002018e+02 7.482188668715293716e+03 4.722826576737322284e+03
1.710262897000002056e+02 7.381310926437439775e+03 4.594959465426175484e+03
1.710479448000002094e+02 7.283137338497192104e+03 4.473011357459427018e+03
1.710695999000002132e+02 7.187543995763841849e+03 4.356593867415088425e+03
1.710912550000002170e+02 7.094415039466685812e+03 4.245351282542553236e+03
1.711129101000002208e+02 7.003641990483023619e+03 4.138957233361899853e+03
1.711345652000002246e+02 6.915123146329638075e+03 4.037111760465012594e+03
1.711562203000002285e+02 6.828763037875247392e+03 3.939538723848666905e+03
1.711778754000002323e+02 6.744471938862753632e+03 3.845983509230879463e+03
1.711995305000002361e+02 6.662165422241253509e+03 3.756210992569971950e+03
1.712211856000002399e+02 6.581763958084235128e+03 3.670003729666301297e+03
1.712428407000002437e+02 6.503192548534889283e+03 3.587160342476932328e+03
1.712644958000002475e+02 6.426380395789133217e+03 3.507494077772862966e+03
1.712861509000002513e+02 6.351260599617146909e+03 3.430831517146371425e+03
1.713078060000002552e+02 6.277769881347005139e+03 3.357011420237639868e+03
1.713294611000002590e+02 6.205848331599569974e+03 3.285883685481183420e+03
1.713511162000002628e+02 6.135439179380678979e+03 3.217308414744230504e+03
1.713727713000002666e+02 6.066488580412262309e+03 3.151155069999201714e+03
1.713944264000002704e+02 5.998945422823830995e+03 3.087301711688620344e+03
1.714160815000002742e+02 5.932761148535369102e+03 3.025634309742974438e+03
1.714377366000002780e+02 5.867889588845880098e+03 2.966046119333129354e+03
1.714593917000002818e+02 5.804286812902715610e+03 2.908437114406392993e+03
1.714810468000002857e+02 5.741910987867917356e+03 2.852713472892277423e+03
1.715027019000002895e+02 5.680722249722228298e+03 2.798787108189470018e+03
1.715243570000002933e+02 5.620682583757164139e+03 2.746575242175998483e+03
1.715460121000002971e+02 5.561755713902416574e+03 2.696000015533352780e+03
1.715676672000003009e+02 5.503907000121763303e+03 2.646988131654205063e+03
1.715893223000003047e+02 5.447103343186809070e+03 2.599470530821958619e+03
1.716109774000003085e+02 5.391313096205475631e+03 2.553382091717010553e+03
1.716326325000003123e+02 5.336505982342497191e+03 2.508661357626313475e+03
1.716542876000003162e+02 5.282653018222724313e+03 2.465250285015697955e+03
1.716759427000003200e+02 5.229726442556087932e+03 2.423094012373489477e+03
1.716975978000003238e+02 5.177699649565839536e+03 2.382140647453695237e+03
