# Distance                   Potential                   Force
2.100105000000000359e+02 5.987245011385233374e+04 1.792954164210859919e+06
2.100321547000000351e+02 4.149616286467984901e+04 4.424187495559132076e+05
2.100538094000000342e+02 3.462464192502257356e+04 2.323358676298958599e+05
2.100754641000000333e+02 3.057117338880949319e+04 1.521567834832648805e+05
2.100971188000000325e+02 2.776460537000733166e+04 1.109426550275992049e+05
2.101187735000000316e+02 2.565010248978018353e+04 8.621345042008202290e+04
2.101404282000000308e+02 2.397104667797616275e+04 6.988615855195796757e+04
2.101620829000000299e+02 2.258896218057724036e+04 5.837963926973312482e+04
2.101837376000000290e+02 2.142115706238810890e+04 4.987689876750307303e+04
2.102053923000000282e+02 2.041455814250106778e+04 4.336326401963237731e+04
2.102270470000000273e+02 1.953320745630759848e+04 3.823000686153341667e+04
2.102487017000000264e+02 1.875169284964795224e+04 3.409101021170304011e+04
2.102703564000000256e+02 1.805143662981680245e+04 3.069018391890820203e+04
2.102920111000000247e+02 1.741847481021670683e+04 2.785135139461220024e+04
2.103136658000000239e+02 1.684206469093065607e+04 2.544955465827884836e+04
2.103353205000000230e+02 1.631377726339388937e+04 2.339383941394958674e+04
2.103569752000000221e+02 1.582688592923121359e+04 2.161651335674334041e+04
2.103786299000000213e+02 1.537594308463326706e+04 2.006621457274671775e+04
2.104002846000000204e+02 1.495647962477031251e+04 1.870330663428384651e+04
2.104219393000000196e+02 1.456478710594600125e+04 1.749674066309674163e+04
2.104435940000000187e+02 1.419775684153415932e+04 1.642186857844887345e+04
2.104652487000000178e+02 1.385275905495419101e+04 1.545888855547315143e+04
2.104869034000000170e+02 1.352755075404169474e+04 1.459172005362545497e+04
2.105085581000000161e+02 1.322020455150005182e+04 1.380717655359296077e+04
2.105302128000000152e+02 1.292905299667780491e+04 1.309434832804930375e+04
2.105518675000000144e+02 1.265264455461486250e+04 1.244413580526109945e+04
2.105735222000000135e+02 1.238970844219542960e+04 1.184889250735761743e+04
2.105951769000000127e+02 1.213912627802888164e+04 1.130214879788382132e+04
2.106168316000000118e+02 1.189990903009885915e+04 1.079839596579546378e+04
2.106384863000000109e+02 1.167117812304478502e+04 1.033291587579613952e+04
2.106601410000000101e+02 1.145214984116404048e+04 9.901645394812132508e+03
2.106817957000000092e+02 1.124212236467565890e+04 9.501067619954485053e+03
2.107034504000000084e+02 1.104046492644593309e+04 9.128123950409646568e+03
2.107251051000000075e+02 1.084660868872264655e+04 8.780142507777476567e+03
2.107467598000000066e+02 1.066003902458271477e+04 8.454779480771860108e+03
2.107684145000000058e+02 1.048028895393545463e+04 8.149970763344860643e+03
2.107900692000000049e+02 1.030693353417129947e+04 7.863891848078123076e+03
2.108117239000000041e+02 1.013958504461796292e+04 7.594924383701004444e+03
2.108333786000000032e+02 9.977888834575620422e+03 7.341628145533674797e+03
2.108550333000000023e+02 9.821519728852819753e+03 7.102717428219693829e+03
2.108766880000000015e+02 9.670178903905774860e+03 6.877041071336266214e+03
2.108983427000000006e+02 9.523591163013566984e+03 6.663565484967900375e+03
2.109199973999999997e+02 9.381502551247489464e+03 6.461360164857694144e+03
2.109416520999999989e+02 9.243678260958860847e+03 6.269585283293023167e+03
2.109633067999999980e+02 9.109900786610753130e+03 6.087481018409041098e+03
2.109849614999999972e+02 8.979968294398822763e+03 5.914358345601541259e+03
2.110066161999999963e+02 8.853693177540688339e+03 5.749591063642863446e+03
2.110282708999999954e+02 8.730900772596103707e+03 5.592608867496647690e+03
2.110499255999999946e+02 8.611428215893924062e+03 5.442891311732089889e+03
2.110715802999999937e+02 8.495123422231481527e+03 5.299962534395136572e+03
2.110932349999999929e+02 8.381844170592863520e+03 5.163386632407044090e+03
2.111148896999999920e+02 8.271457283796869888e+03 5.032763596972057712e+03
2.111365443999999911e+02 8.163837890806790710e+03 4.907725731826339143e+03
2.111581990999999903e+02 8.058868761972673383e+03 4.787934489034675607e+03
2.111798537999999894e+02 7.956439708780540968e+03 4.673077666904820944e+03
2.112015084999999885e+02 7.856447040791737891e+03 4.562866922812127086e+03
2.112231631999999877e+02 7.758793073401078800e+03 4.457035560606332183e+03
2.112448178999999868e+02 7.663385680851484722e+03 4.355336558047283688e+03
2.112664725999999860e+02 7.570137889636786895e+03 4.257540804579730320e+03
2.112881272999999851e+02 7.478967508021803042e+03 4.163435523866245603e+03
2.113097819999999842e+02 7.389796787923701231e+03 4.072822858979036937e+03
2.113314366999999834e+02 7.302552115844601758e+03 3.985518601110592954e+03
2.113530913999999825e+02 7.217163729931597118e+03 3.901351045184925624e+03
2.113747460999999817e+02 7.133565460576458463e+03 3.820159957906465934e+03
2.113964007999999808e+02 7.051694492259848630e+03 3.741795645630319996e+03
2.114180554999999799e+02 6.971491144600580810e+03 3.666118111023920846e+03
2.114397101999999791e+02 6.892898670794012105e+03 3.592996288856178126e+03
2.114613648999999782e+02 6.815863071820008372e+03 3.522307352429413640e+03
2.114830195999999773e+02 6.740332924973234185e+03 3.453936083189533292e+03
2.115046742999999765e+02 6.666259225420370967e+03 3.387774296934570430e+03
2.115263289999999756e+02 6.593595239622885856e+03 3.323720320810459270e+03
2.115479836999999748e+02 6.522296369582360057e+03 3.261678515952380621e+03
2.115696383999999739e+02 6.452320026970241088e+03 3.201558841214169661e+03
2.115912930999999730e+02 6.383625516296993737e+03 3.143276453939095063e+03
2.116129477999999722e+02 6.316173926358196695e+03 3.086751344172709196e+03
2.116346024999999713e+02 6.249928029268823593e+03 3.031907999111240770e+03
2.116562571999999705e+02 6.184852186462566351e+03 2.978675094924250516e+03
2.116779118999999696e+02 6.120912261091513756e+03 2.926985213394442781e+03
2.116995665999999687e+02 6.058075536314147030e+03 2.876774581085870523e+03
2.117212212999999679e+02 5.996310639006299425e+03 2.827982828988964684e+03
2.117428759999999670e+02 5.935587468472054752e+03 2.780552770800738472e+03
2.117645306999999661e+02 5.875877129769229214e+03 2.734430198184757501e+03
2.117861853999999653e+02 5.817151871298159676e+03 2.689563691520689190e+03
2.118078400999999644e+02 5.759385026333217866e+03 2.645904444800377405e+03
2.118294947999999636e+02 5.702550958203984919e+03 2.603406103458258258e+03
2.118511494999999627e+02 5.646625008858133697e+03 2.562024614040802135e+03
2.118728041999999618e+02 5.591583450560496203e+03 2.521718084723967877e+03
2.118944588999999610e+02 5.537403440503302591e+03 2.482446655780986930e+03
2.119161135999999601e+02 5.484062978121101878e+03 2.444172379186359194e+03
2.119377682999999593e+02 5.431540864920617423e+03 2.406859106616912413e+03
2.119594229999999584e+02 5.379816666651103333e+03 2.370472385178054083e+03
2.119810776999999575e+02 5.328870677654673273e+03 2.334979360243863084e+03
2.120027323999999567e+02 5.278683887248585961e+03 2.300348684854118801e+03
2.120243870999999558e+02 5.229237948003210477e+03 2.266550435160453162e+03
2.120460417999999549e+02 5.180515145789639973e+03 2.233556031458087546e+03
2.120676964999999541e+02 5.132498371480758578e+03 2.201338164379614682e+03
2.120893511999999532e+02 5.085171094198179162e+03 2.169870725863444932e+03
2.121110058999999524e+02 5.038517336005571451e+03 2.139128744542300410e+03
2.121326605999999515e+02 4.992521647956235938e+03 2.109088325226770849e+03
2.121543152999999506e+02 4.947169087409505664e+03 2.079726592185903883e+03
2.121759699999999498e+02 4.902445196536780713e+03 2.051021635951198732e+03
2.121976246999999489e+02 4.858335981943638217e+03 2.022952463392625077e+03
2.122192793999999481e+02 4.814827895339703900e+03 1.995498950835472442e+03
2.122409340999999472e+02 4.771907815192792441e+03 1.968641800005257892e+03
2.122625887999999463e+02 4.729563029308171281e+03 1.942362496604695480e+03
2.122842434999999455e+02 4.687781218278026245e+03 1.916643271342049047e+03
2.123058981999999446e+02 4.646550439749769794e+03 1.891467063244147766e+03
2.123275528999999437e+02 4.605859113465498922e+03 1.866817485100171098e+03
2.123492075999999429e+02 4.565696007027946507e+03 1.842678790893935911e+03
2.123708622999999420e+02 4.526050222351364937e+03 1.819035845093191483e+03
2.123925169999999412e+02 4.486911182758432915e+03 1.795874093674187407e+03
2.124141716999999403e+02 4.448268620686859322e+03 1.773179536768801427e+03
2.124358263999999394e+02 4.410112565971668118e+03 1.750938702829766726e+03
2.124574810999999386e+02 4.372433334671392004e+03 1.729138624217121105e+03
2.124791357999999377e+02 4.335221518408362499e+03 1.707766814115975194e+03
2.125007904999999369e+02 4.298467974195151328e+03 1.686811244702112845e+03
2.125224451999999360e+02 4.262163814721084236e+03 1.666260326477847457e+03
2.125440998999999351e+02 4.226300399074146299e+03 1.646102888705989244e+03
2.125657545999999343e+02 4.190869323875358532e+03 1.626328160874802052e+03
2.125874092999999334e+02 4.155862414803892534e+03 1.606925755131468122e+03
2.126090639999999325e+02 4.121271718492656873e+03 1.587885649625833821e+03
2.126307186999999317e+02 4.087089494775180356e+03 1.569198172710170184e+03
2.126523733999999308e+02 4.053308209265851019e+03 1.550853987944337405e+03
2.126740280999999300e+02 4.019920526256581525e+03 1.532844079859111162e+03
2.126956827999999291e+02 3.986919301913918844e+03 1.515159740433557545e+03
2.127173374999999282e+02 3.954297577761672528e+03 1.497792556245253763e+03
2.127389921999999274e+02 3.922048574434840248e+03 1.480734396254812964e+03
2.127606468999999265e+02 3.890165685691510134e+03 1.463977400188684669e+03
2.127823015999999257e+02 3.858642472670193911e+03 1.447513967486506772e+03
2.128039562999999248e+02 3.827472658380612756e+03 1.431336746781420061e+03
2.128256109999999239e+02 3.796650122416846443e+03 1.415438625883776695e+03
2.128472656999999231e+02 3.766168895882155994e+03 1.399812722240494622e+03
2.128689203999999222e+02 3.736023156515479059e+03 1.384452373844071644e+03
2.128905750999999213e+02 3.706207224010170648e+03 1.369351130566844859e+03
2.129122297999999205e+02 3.676715555515964297e+03 1.354502745897603518e+03
2.129338844999999196e+02 3.647542741315758576e+03 1.339901169059038921e+03
2.129555391999999188e+02 3.618683500669124896e+03 1.325540537485818277e+03
2.129771938999999179e+02 3.590132677814961880e+03 1.311415169644291382e+03
2.129988485999999170e+02 3.561885238126145396e+03 1.297519558175953534e+03
2.130205032999999162e+02 3.533936264409245268e+03 1.283848363347853820e+03
2.130421579999999153e+02 3.506280953342927660e+03 1.270396406794128552e+03
2.130638126999999145e+02 3.478914612048869458e+03 1.257158665533741214e+03
2.130854673999999136e+02 3.451832654789315256e+03 1.244130266250406521e+03
2.131071220999999127e+02 3.425030599785827235e+03 1.231306479821444327e+03
2.131287767999999119e+02 3.398504066153908298e+03 1.218682716083097603e+03
2.131504314999999110e+02 3.372248770948516267e+03 1.206254518820528574e+03
2.131720861999999101e+02 3.346260526315759762e+03 1.194017560971396051e+03
2.131937408999999093e+02 3.320535236746229202e+03 1.181967640032510872e+03
2.132153955999999084e+02 3.295068896425682851e+03 1.170100673659669610e+03
2.132370502999999076e+02 3.269857586679019278e+03 1.158412695451306263e+03
2.132587049999999067e+02 3.244897473503640413e+03 1.146899850907107293e+03
2.132803596999999058e+02 3.220184805188508562e+03 1.135558393553231554e+03
2.133020143999999050e+02 3.195715910015378540e+03 1.124384681226209068e+03
2.133236690999999041e+02 3.171487194038862981e+03 1.113375172508046489e+03
2.133453237999999033e+02 3.147495138942092126e+03 1.102526423305424714e+03
2.133669784999999024e+02 3.123736299964989485e+03 1.091835083566305684e+03
2.133886331999999015e+02 3.100207303902187959e+03 1.081297894127556219e+03
2.134102878999999007e+02 3.076904847167857042e+03 1.070911683687586446e+03
2.134319425999998998e+02 3.053825693924795360e+03 1.060673365898275279e+03
2.134535972999998990e+02 3.030966674275221521e+03 1.050579936570766904e+03
2.134752519999998981e+02 3.008324682510927232e+03 1.040628470990004644e+03
2.134969066999998972e+02 2.985896675420428892e+03 1.030816121333114097e+03
2.135185613999998964e+02 2.963679670650936714e+03 1.021140114187012273e+03
2.135402160999998955e+02 2.941670745123045890e+03 1.011597748160842912e+03
2.135618707999998946e+02 2.919867033496173462e+03 1.002186391589067625e+03
2.135835254999998938e+02 2.898265726682717286e+03 9.929034803212294946e+02
2.136051801999998929e+02 2.876864070409264514e+03 9.837465155946389359e+02
2.136268348999998921e+02 2.855659363822916475e+03 9.747130619863723950e+02
2.136484895999998912e+02 2.834648958141192907e+03 9.658007454411924755e+02
2.136701442999998903e+02 2.813830255343816589e+03 9.570072513721337373e+02
2.136917989999998895e+02 2.793200706904884100e+03 9.483303228306679102e+02
2.137134536999998886e+02 2.772757812563933385e+03 9.397677587435107398e+02
2.137351083999998878e+02 2.752499119134489774e+03 9.313174122132727462e+02
2.137567630999998869e+02 2.732422219348750332e+03 9.229771888802818012e+02
2.137784177999998860e+02 2.712524750737108207e+03 9.147450453430451489e+02
2.138000724999998852e+02 2.692804394541242345e+03 9.066189876349254746e+02
2.138217271999998843e+02 2.673258874659653884e+03 8.985970697547226109e+02
2.138433818999998834e+02 2.653885956624398659e+03 8.906773922489642246e+02
2.138650365999998826e+02 2.634683446608041322e+03 8.828581008438050048e+02
2.138866912999998817e+02 2.615649190459661440e+03 8.751373851245281230e+02
2.139083459999998809e+02 2.596781072768990725e+03 8.675134772607465266e+02
2.139300006999998800e+02 2.578077015957673666e+03 8.599846507754702998e+02
2.139516553999998791e+02 2.559534979396704784e+03 8.525492193563050023e+02
2.139733100999998783e+02 2.541152958549191681e+03 8.452055357071154731e+02
2.139949647999998774e+02 2.522928984137548468e+03 8.379519904385648488e+02
2.140166194999998766e+02 2.504861121334310155e+03 8.307870109960127820e+02
2.140382741999998757e+02 2.486947468975758511e+03 8.237090606233175549e+02
2.140599288999998748e+02 2.469186158797648204e+03 8.167166373611612471e+02
2.140815835999998740e+02 2.451575354692216933e+03 8.098082730785610011e+02
2.141032382999998731e+02 2.434113251985839725e+03 8.029825325363079855e+02
2.141248929999998722e+02 2.416798076736646635e+03 7.962380124811141968e+02
2.141465476999998714e+02 2.399628085051399012e+03 7.895733407693026038e+02
2.141682023999998705e+02 2.382601562421059043e+03 7.829871755189366240e+02
2.141898570999998697e+02 2.365716823074418699e+03 7.764782042893154994e+02
2.142115117999998688e+02 2.348972209349189143e+03 7.700451432868221673e+02
2.142331664999998679e+02 2.332366091080039041e+03 7.636867365961444420e+02
2.142548211999998671e+02 2.315896865002996037e+03 7.574017554359323867e+02
2.142764758999998662e+02 2.299562954175711184e+03 7.511889974379985233e+02
2.142981305999998654e+02 2.283362807413098835e+03 7.450472859492007274e+02
2.143197852999998645e+02 2.267294898737834046e+03 7.389754693551813034e+02
2.143414399999998636e+02 2.251357726845279558e+03 7.329724204251756419e+02
2.143630946999998628e+02 2.235549814582384897e+03 7.270370356771309162e+02
2.143847493999998619e+02 2.219869708440101022e+03 7.211682347624106342e+02
2.144064040999998610e+02 2.204315978058934434e+03 7.153649598693808684e+02
2.144280587999998602e+02 2.188887215747197388e+03 7.096261751452201452e+02
2.144497134999998593e+02 2.173582036011601758e+03 7.039508661352984973e+02
2.144713681999998585e+02 2.158399075099809579e+03 6.983380392395192757e+02
2.144930228999998576e+02 2.143336990554562362e+03 6.927867211850244757e+02
2.145146775999998567e+02 2.128394460779075871e+03 6.872959585146980999e+02
2.145363322999998559e+02 2.113570184613331094e+03 6.818648170909200417e+02
2.145579869999998550e+02 2.098862880920956741e+03 6.764923816140476447e+02
2.145796416999998542e+02 2.084271288186384936e+03 6.711777551551157330e+02
2.146012963999998533e+02 2.069794164121979520e+03 6.659200587022753552e+02
2.146229510999998524e+02 2.055430285284822276e+03 6.607184307205021696e+02
2.146446057999998516e+02 2.041178446702926067e+03 6.555720267241262036e+02
2.146662604999998507e+02 2.027037461510533376e+03 6.504800188617535923e+02
2.146879151999998498e+02 2.013006160592321748e+03 6.454415955131643159e+02
2.147095698999998490e+02 1.999083392236143027e+03 6.404559608977838252e+02
2.147312245999998481e+02 1.985268021794194055e+03 6.355223346943538445e+02
2.147528792999998473e+02 1.971558931352245736e+03 6.306399516714216134e+02
2.147745339999998464e+02 1.957955019406791052e+03 6.258080613282985496e+02
2.147961886999998455e+02 1.944455200549865140e+03 6.210259275461468178e+02
2.148178433999998447e+02 1.931058405161272276e+03 6.162928282488567220e+02
2.148394980999998438e+02 1.917763579108103613e+03 6.116080550734083090e+02
2.148611527999998430e+02 1.904569683451258925e+03 6.069709130493990870e+02
2.148828074999998421e+02 1.891475694158828901e+03 6.023807202874545510e+02
2.149044621999998412e+02 1.878480601826120392e+03 5.978368076762271812e+02
2.149261168999998404e+02 1.865583411402156798e+03 5.933385185877201593e+02
2.149477715999998395e+02 1.852783141922487857e+03 5.888852085906632965e+02
2.149694262999998386e+02 1.840078826248078485e+03 5.844762451716914029e+02
2.149910809999998378e+02 1.827469510810201427e+03 5.801110074640790799e+02
2.150127356999998369e+02 1.814954255361099968e+03 5.757888859837971722e+02
2.150343903999998361e+02 1.802532132730290641e+03 5.715092823726563438e+02
2.150560450999998352e+02 1.790202228586353613e+03 5.672716091483266609e+02
2.150776997999998343e+02 1.777963641204066562e+03 5.630752894610135399e+02
2.150993544999998335e+02 1.765815481236735650e+03 5.589197568565900838e+02
2.151210091999998326e+02 1.753756871493596236e+03 5.548044550459826496e+02
2.151426638999998318e+02 1.741786946722122138e+03 5.507288376806262704e+02
2.151643185999998309e+02 1.729904853395150667e+03 5.466923681337981407e+02
2.151859732999998300e+02 1.718109749502679733e+03 5.426945192876553392e+02
2.152076279999998292e+02 1.706400804348194924e+03 5.387347733258050084e+02
2.152292826999998283e+02 1.694777198349472656e+03 5.348126215312385057e+02
2.152509373999998274e+02 1.683238122843651126e+03 5.309275640894720709e+02
2.152725920999998266e+02 1.671782779896555212e+03 5.270791098967375774e+02
2.152942467999998257e+02 1.660410382116081792e+03 5.232667763730718207e+02
2.153159014999998249e+02 1.649120152469613231e+03 5.194900892801661030e+02
2.153375561999998240e+02 1.637911324105312588e+03 5.157485825438270695e+02
2.153592108999998231e+02 1.626783140177200949e+03 5.120417980809219216e+02
2.153808655999998223e+02 1.615734853673965063e+03 5.083692856306722092e+02
2.154025202999998214e+02 1.604765727251339968e+03 5.047306025901733619e+02
2.154241749999998206e+02 1.593875033068031826e+03 5.011253138540126884e+02
2.154458296999998197e+02 1.583062052625065007e+03 4.975529916578747134e+02
2.154674843999998188e+02 1.572326076608454287e+03 4.940132154260131188e+02
2.154891390999998180e+02 1.561666404735186006e+03 4.905055716224831599e+02
2.155107937999998171e+02 1.551082345602321766e+03 4.870296536060241124e+02
2.155324484999998162e+02 1.540573216539246459e+03 4.835850614884898846e+02
2.155541031999998154e+02 1.530138343462940611e+03 4.801714019967295144e+02
2.155757578999998145e+02 1.519777060736188332e+03 4.767882883378149472e+02
2.155974125999998137e+02 1.509488711028686339e+03 4.734353400675296371e+02
2.156190672999998128e+02 1.499272645180956260e+03 4.701121829620191193e+02
2.156407219999998119e+02 1.489128222071007940e+03 4.668184488925222126e+02
2.156623766999998111e+02 1.479054808483685974e+03 4.635537757030939474e+02
2.156840313999998102e+02 1.469051778982615360e+03 4.603178070912374551e+02
2.157056860999998094e+02 1.459118515784728970e+03 4.571101924913668881e+02
2.157273407999998085e+02 1.449254408637258848e+03 4.539305869610224704e+02
2.157489954999998076e+02 1.439458854697189281e+03 4.507786510697623612e+02
2.157706501999998068e+02 1.429731258413066598e+03 4.476540507906589710e+02
2.157923048999998059e+02 1.420071031409144780e+03 4.445564573943299251e+02
2.158139595999998051e+02 1.410477592371791161e+03 4.414855473454334742e+02
2.158356142999998042e+02 1.400950366938109028e+03 4.384410022015629806e+02
2.158572689999998033e+02 1.391488787586727767e+03 4.354225085144781247e+02
2.158789236999998025e+02 1.382092293530706229e+03 4.324297577336062091e+02
2.159005783999998016e+02 1.372760330612487451e+03 4.294624461117574583e+02
2.159222330999998007e+02 1.363492351200909980e+03 4.265202746129928641e+02
2.159438877999997999e+02 1.354287814090135498e+03 4.236029488225888713e+02
2.159655424999997990e+02 1.345146184400555057e+03 4.207101788590443903e+02
2.159871971999997982e+02 1.336066933481552269e+03 4.178416792880743742e+02
2.160088518999997973e+02 1.327049538816105496e+03 4.149971690385404486e+02
2.160305065999997964e+02 1.318093483927221314e+03 4.121763713202680037e+02
2.160521612999997956e+02 1.309198258286073496e+03 4.093790135436973969e+02
2.160738159999997947e+02 1.300363357221919159e+03 4.066048272413279392e+02
2.160954706999997939e+02 1.291588281833659494e+03 4.038535479909025412e+02
2.161171253999997930e+02 1.282872538903055784e+03 4.011249153402928869e+02
2.161387800999997921e+02 1.274215640809577053e+03 3.984186727340380116e+02
2.161604347999997913e+02 1.265617105446758615e+03 3.957345674414967789e+02
2.161820894999997904e+02 1.257076456140184519e+03 3.930723504865727023e+02
2.162037441999997895e+02 1.248593221566901093e+03 3.904317765789708687e+02
2.162253988999997887e+02 1.240166935676347975e+03 3.878126040469475129e+02
2.162470535999997878e+02 1.231797137612705228e+03 3.852145947715173406e+02
2.162687082999997870e+02 1.223483371638668814e+03 3.826375141220795513e+02
2.162903629999997861e+02 1.215225187060584858e+03 3.800811308934286217e+02
2.163120176999997852e+02 1.207022138154949516e+03 3.775452172441139851e+02
2.163336723999997844e+02 1.198873784096221470e+03 3.750295486361179087e+02
2.163553270999997835e+02 1.190779688885931137e+03 3.725339037758150766e+02
2.163769817999997827e+02 1.182739421283051570e+03 3.700580645561867073e+02
2.163986364999997818e+02 1.174752554735600143e+03 3.676018160002544164e+02
2.164202911999997809e+02 1.166818667313475999e+03 3.651649462057073379e+02
2.164419458999997801e+02 1.158937341642450747e+03 3.627472462906909527e+02
2.164636005999997792e+02 1.151108164839350593e+03 3.603485103407304564e+02
2.164852552999997783e+02 1.143330728448359423e+03 3.579685353567613788e+02
2.165069099999997775e+02 1.135604628378436246e+03 3.556071212042416505e+02
2.165285646999997766e+02 1.127929464841831077e+03 3.532640705633156699e+02
2.165502193999997758e+02 1.120304842293660840e+03 3.509391888800096808e+02
2.165718740999997749e+02 1.112730369372534369e+03 3.486322843184302087e+02
2.165935287999997740e+02 1.105205658842208095e+03 3.463431677139442968e+02
2.166151834999997732e+02 1.097730327534226944e+03 3.440716525273160187e+02
2.166368381999997723e+02 1.090303996291567955e+03 3.418175547997788613e+02
2.166584928999997715e+02 1.082926289913245000e+03 3.395806931090193075e+02
2.166801475999997706e+02 1.075596837099837558e+03 3.373608885260539410e+02
2.167018022999997697e+02 1.068315270399971496e+03 3.351579645729740946e+02
2.167234569999997689e+02 1.061081226157671608e+03 3.329717471815432077e+02
2.167451116999997680e+02 1.053894344460651610e+03 3.308020646526224482e+02
2.167667663999997671e+02 1.046754269089411991e+03 3.286487476164090253e+02
2.167884210999997663e+02 1.039660647467250101e+03 3.265116289934659903e+02
2.168100757999997654e+02 1.032613130611052156e+03 3.243905439565254483e+02
2.168317304999997646e+02 1.025611373082951332e+03 3.222853298930493224e+02
2.168533851999997637e+02 1.018655032942760613e+03 3.201958263685284010e+02
2.168750398999997628e+02 1.011743771701191122e+03 3.181218750905032948e+02
2.168966945999997620e+02 1.004877254273857943e+03 3.160633198732916753e+02
2.169183492999997611e+02 9.980551489360290134e+02 3.140200066034041697e+02
2.169400039999997603e+02 9.912771272781335483e+02 3.119917832056356701e+02
2.169616586999997594e+02 9.845428641619625978e+02 3.099784996098136389e+02
2.169833133999997585e+02 9.778520376776259582e+02 3.079800077181924962e+02
2.170049680999997577e+02 9.712043291011768815e+02 3.059961613734762409e+02
2.170266227999997568e+02 9.645994228529324346e+02 3.040268163274571407e+02
2.170482774999997559e+02 9.580370064564699533e+02 3.020718302102563371e+02
2.170699321999997551e+02 9.515167704982823125e+02 3.001310625001518702e+02
2.170915868999997542e+02 9.450384085880691600e+02 2.982043744939848011e+02
2.171132415999997534e+02 9.386016173196819636e+02 2.962916292781248444e+02
2.171348962999997525e+02 9.322060962326785329e+02 2.943926916999888022e+02
2.171565509999997516e+02 9.258515477744837199e+02 2.925074283400958848e+02
2.171782056999997508e+02 9.195376772631734639e+02 2.906357074846509363e+02
2.171998603999997499e+02 9.132641928508121509e+02 2.887773990986414105e+02
2.172215150999997491e+02 9.070308054874037680e+02 2.869323747994392875e+02
2.172431697999997482e+02 9.008372288853778400e+02 2.851005078308946281e+02
2.172648244999997473e+02 8.946831794846481216e+02 2.832816730379134924e+02
2.172864791999997465e+02 8.885683764182209643e+02 2.814757468415059520e+02
2.173081338999997456e+02 8.824925414783194810e+02 2.796826072142964676e+02
2.173297885999997447e+02 8.764553990830512475e+02 2.779021336564868534e+02
2.173514432999997439e+02 8.704566762435872533e+02 2.761342071722602896e+02
2.173730979999997430e+02 8.644961025318428938e+02 2.743787102466193915e+02
2.173947526999997422e+02 8.585734100486508851e+02 2.726355268226470230e+02
2.174164073999997413e+02 8.526883333924441786e+02 2.709045422791825786e+02
2.174380620999997404e+02 8.468406096283918032e+02 2.691856434089037862e+02
2.174597167999997396e+02 8.410299782580182182e+02 2.674787183968052204e+02
2.174813714999997387e+02 8.352561811892891228e+02 2.657836567990680692e+02
2.175030261999997379e+02 8.295189627071353016e+02 2.641003495223081359e+02
2.175246808999997370e+02 8.238180694444331493e+02 2.624286888031987814e+02
2.175463355999997361e+02 8.181532503534256193e+02 2.607685681884585733e+02
2.175679902999997353e+02 8.125242566775613113e+02 2.591198825151956271e+02
2.175896449999997344e+02 8.069308419237634098e+02 2.574825278916046045e+02
2.176112996999997335e+02 8.013727618351069850e+02 2.558564016780036354e+02
2.176329543999997327e+02 7.958497743639138662e+02 2.542414024682099694e+02
2.176546090999997318e+02 7.903616396452312074e+02 2.526374300712427328e+02
2.176762637999997310e+02 7.849081199707221685e+02 2.510443854933500916e+02
2.176979184999997301e+02 7.794889797629228951e+02 2.494621709203498767e+02
2.177195731999997292e+02 7.741039855498959241e+02 2.478906897002814560e+02
2.177412278999997284e+02 7.687529059402332905e+02 2.463298463263597853e+02
2.177628825999997275e+02 7.634355115984657232e+02 2.447795464202273195e+02
2.177845372999997267e+02 7.581515752207732248e+02 2.432396967154954268e+02
2.178061919999997258e+02 7.529008715111124275e+02 2.417102050415725500e+02
2.178278466999997249e+02 7.476831771576346455e+02 2.401909803077707579e+02
2.178495013999997241e+02 7.424982708094851205e+02 2.386819324876867370e+02
2.178711560999997232e+02 7.373459330539227494e+02 2.371829726038508568e+02
2.178928107999997223e+02 7.322259463937629107e+02 2.356940127126392781e+02
2.179144654999997215e+02 7.271380952251494136e+02 2.342149658894443860e+02
2.179361201999997206e+02 7.220821658156619378e+02 2.327457462140968403e+02
2.179577748999997198e+02 7.170579462826999588e+02 2.312862687565367139e+02
2.179794295999997189e+02 7.120652265722075072e+02 2.298364495627270401e+02
2.180010842999997180e+02 7.071037984376895338e+02 2.283962056408047090e+02
2.180227389999997172e+02 7.021734554195152214e+02 2.269654549474657870e+02
2.180443936999997163e+02 6.972739928245277952e+02 2.255441163745797439e+02
2.180660483999997155e+02 6.924052077059396879e+02 2.241321097360272461e+02
2.180877030999997146e+02 6.875668988435030542e+02 2.227293557547592968e+02
2.181093577999997137e+02 6.827588667239594997e+02 2.213357760500706206e+02
2.181310124999997129e+02 6.779809135217732319e+02 2.199512931250866643e+02
