# Distance                   Potential                   Force
2.100105000000000359e+02 5.998993330397454702e+04 1.792978500637498684e+06
2.100308323000000428e+02 4.221373281159097678e+04 4.663001922239869600e+05
2.100511646000000496e+02 3.537524202440831141e+04 2.474828345817266672e+05
2.100714969000000565e+02 3.131149891470902003e+04 1.628223363484409929e+05
2.100918292000000633e+02 2.848784094236554665e+04 1.190279132014120114e+05
2.101121615000000702e+02 2.635593594096710513e+04 9.265313424561703869e+04
2.101324938000000770e+02 2.466062016991016571e+04 7.519695902641979046e+04
2.101528261000000839e+02 2.326367500994135116e+04 6.287363523715559131e+04
2.101731584000000908e+02 2.208234378285942876e+04 5.375558026079143747e+04
2.101934907000000976e+02 2.106340856858781990e+04 4.676359044901129528e+04
2.102138230000001045e+02 2.017075959503161357e+04 4.124894814099719952e+04
2.102341553000001113e+02 1.937884727621517231e+04 3.679952965425485309e+04
2.102544876000001182e+02 1.866897551746834506e+04 3.314165051264904469e+04
2.102748199000001250e+02 1.802708014833193010e+04 3.008683302370689125e+04
2.102951522000001319e+02 1.744233413587782343e+04 2.750127645010661945e+04
2.103154845000001387e+02 1.690623743007730081e+04 2.528751671122650441e+04
2.103358168000001456e+02 1.641200337598392798e+04 2.337296943417974762e+04
2.103561491000001524e+02 1.595413335220231784e+04 2.170252954551317089e+04
2.103764814000001593e+02 1.552811467897765942e+04 2.023365072334740762e+04
2.103968137000001661e+02 1.513020148584854178e+04 1.893298985651832118e+04
2.104171460000001730e+02 1.475725276152012157e+04 1.777406709713740202e+04
2.104374783000001798e+02 1.440661066092134934e+04 1.673560142865426678e+04
2.104578106000001867e+02 1.407600769342899730e+04 1.580030553011373377e+04
2.104781429000001935e+02 1.376349498436962676e+04 1.495399913809730788e+04
2.104984752000002004e+02 1.346738614919786050e+04 1.418494722930467105e+04
2.105188075000002073e+02 1.318621289593360234e+04 1.348335947621851847e+04
2.105391398000002141e+02 1.291868954968957405e+04 1.284100710057031938e+04
2.105594721000002210e+02 1.266368444331337923e+04 1.225092634065028869e+04
2.105798044000002278e+02 1.242019664824370375e+04 1.170718661319754938e+04
2.106001367000002347e+02 1.218733689956883427e+04 1.120470754975819182e+04
2.106204690000002415e+02 1.196431184510870844e+04 1.073911334584228462e+04
2.106408013000002484e+02 1.175041095104955639e+04 1.030661587506210890e+04
2.106611336000002552e+02 1.154499554730391537e+04 9.903920180413553680e+03
2.106814659000002621e+02 1.134748960888978036e+04 9.528147521068365677e+03
2.107017982000002689e+02 1.115737195539298955e+04 9.176772301126460661e+03
2.107221305000002758e+02 1.097416961620079019e+04 8.847570056956075859e+03
2.107424628000002826e+02 1.079745215983093294e+04 8.538574315342706541e+03
2.107627951000002895e+02 1.062682682506398305e+04 8.248040614097280923e+03
2.107831274000002963e+02 1.046193432244757059e+04 7.974416341456313603e+03
2.108034597000003032e+02 1.030244519909489281e+04 7.716315330206428371e+03
2.108237920000003101e+02 1.014805667904587608e+04 7.472496358437932940e+03
2.108441243000003169e+02 9.998489906925058676e+03 7.241844876835834839e+03
2.108644566000003238e+02 9.853487535066564305e+03 7.023357413981279024e+03
2.108847889000003306e+02 9.712811604334212461e+03 6.816128214818558263e+03
2.109051212000003375e+02 9.576241677041933144e+03 6.619337749644085306e+03
2.109254535000003443e+02 9.443573187061956560e+03 6.432242796517318311e+03
2.109457858000003512e+02 9.314615977695162655e+03 6.254167852539986598e+03
2.109661181000003580e+02 9.189193002404781510e+03 6.084497671795059432e+03
2.109864504000003649e+02 9.067139167265126162e+03 5.922670762030113110e+03
2.110067827000003717e+02 8.948300297097792281e+03 5.768173700073526561e+03
2.110271150000003786e+02 8.832532209875140325e+03 5.620536148779407995e+03
2.110474473000003854e+02 8.719699886157206492e+03 5.479326477019611048e+03
2.110677796000003923e+02 8.609676722168664128e+03 5.344147899674218934e+03
2.110881119000003991e+02 8.502343856677294752e+03 5.214635067343673654e+03
2.111084442000004060e+02 8.397589563152956543e+03 5.090451046115745157e+03
2.111287765000004129e+02 8.295308699806710138e+03 4.971284636566752852e+03
2.111491088000004197e+02 8.195402211065542360e+03 4.856847988578145305e+03
2.111694411000004266e+02 8.097776674855947931e+03 4.746874474763571925e+03
2.111897734000004334e+02 8.002343890771395309e+03 4.641116790535415930e+03
2.112101057000004403e+02 7.909020504802498181e+03 4.539345253261955804e+03
2.112304380000004471e+02 7.817727666829761802e+03 4.441346276714034502e+03
2.112507703000004540e+02 7.728390717529390713e+03 4.346921000185392586e+03
2.112711026000004608e+02 7.640938901733527018e+03 4.255884054385902346e+03
2.112914349000004677e+02 7.555305105626056502e+03 4.168062448527280139e+03
2.113117672000004745e+02 7.471425615451096746e+03 4.083294565009263806e+03
2.113320995000004814e+02 7.389239895669975340e+03 4.001429249822459496e+03
2.113524318000004882e+02 7.308690384728688514e+03 3.922324988255134031e+03
2.113727641000004951e+02 7.229722306796310477e+03 3.845849156761217728e+03
2.113930964000005019e+02 7.152283498009433060e+03 3.771877342945559121e+03
2.114134287000005088e+02 7.076324245911167054e+03 3.700292726575397410e+03
2.114337610000005157e+02 7.001797140908885012e+03 3.630985515355064763e+03
2.114540933000005225e+02 6.928656938694781275e+03 3.563852429922197189e+03
2.114744256000005294e+02 6.856860432679309270e+03 3.498796233153029334e+03
2.114947579000005362e+02 6.786366335581896237e+03 3.435725299414701567e+03
2.115150902000005431e+02 6.717135169406843488e+03 3.374553219884611281e+03
2.115354225000005499e+02 6.649129163106993474e+03 3.315198440479989131e+03
2.115557548000005568e+02 6.582312157303988897e+03 3.257583929313009776e+03
2.115760871000005636e+02 6.516649515493399122e+03 3.201636870914460815e+03
2.115964194000005705e+02 6.452108041215978119e+03 3.147288384758249322e+03
2.116167517000005773e+02 6.388655900723862942e+03 3.094473265874622484e+03
2.116370840000005842e+02 6.326262550713146084e+03 3.043129745566299789e+03
2.116574163000005910e+02 6.264898670732563005e+03 2.993199270442351917e+03
2.116777486000005979e+02 6.204536099912417740e+03 2.944626298162899730e+03
2.116980809000006047e+02 6.145147777689067880e+03 2.897358108446169808e+03
2.117184132000006116e+02 6.086707688228043480e+03 2.851344628030648437e+03
2.117387455000006184e+02 6.029190808274337542e+03 2.806538268410981800e+03
2.117590778000006253e+02 5.972573058181196757e+03 2.762893775278766498e+03
2.117794101000006322e+02 5.916831255889405838e+03 2.720368088699984128e+03
2.117997424000006390e+02 5.861943073647851634e+03 2.678920213150953259e+03
2.118200747000006459e+02 5.807886997283136225e+03 2.638511096615468432e+03
2.118404070000006527e+02 5.754642287841526013e+03 2.599103518018398972e+03
2.118607393000006596e+02 5.702188945440504540e+03 2.560661982336217989e+03
2.118810716000006664e+02 5.650507675180065235e+03 2.523152622783713923e+03
2.119014039000006733e+02 5.599579854975533635e+03 2.486543109529010508e+03
2.119217362000006801e+02 5.549387505184306065e+03 2.450802564436825378e+03
2.119420685000006870e+02 5.499913259908694272e+03 2.415901481383001737e+03
2.119624008000006938e+02 5.451140339865877650e+03 2.381811651722369334e+03
2.119827331000007007e+02 5.403052526724170093e+03 2.348506094527298956e+03
2.120030654000007075e+02 5.355634138812153651e+03 2.315958991246321602e+03
2.120233977000007144e+02 5.308870008114207849e+03 2.284145624461209536e+03
2.120437300000007212e+02 5.262745458472079918e+03 2.253042320447273141e+03
2.120640623000007281e+02 5.217246284917994672e+03 2.222626395265613155e+03
2.120843946000007350e+02 5.172358734070052378e+03 2.192876104137837046e+03
2.121047269000007418e+02 5.128069485525566961e+03 2.163770593873640792e+03
2.121250592000007487e+02 5.084365634192407015e+03 2.135289858139741227e+03
2.121453915000007555e+02 5.041234673502600344e+03 2.107414695375151041e+03
2.121657238000007624e+02 4.998664479456285335e+03 2.080126669172916991e+03
2.121860561000007692e+02 4.956643295447500350e+03 2.053408070962168495e+03
2.122063884000007761e+02 4.915159717826668384e+03 2.027241884836993449e+03
2.122267207000007829e+02 4.874202682157581876e+03 2.001611754390171654e+03
2.122470530000007898e+02 4.833761450129481091e+03 1.976501951420407750e+03
2.122673853000007966e+02 4.793825597087363349e+03 1.951897346391390784e+03
2.122877176000008035e+02 4.754385000146084167e+03 1.927783380529932174e+03
2.123080499000008103e+02 4.715429826856017826e+03 1.904146039458614950e+03
2.123283822000008172e+02 4.676950524390010287e+03 1.880971828265910062e+03
2.123487145000008240e+02 4.638937809223411932e+03 1.858247747923646557e+03
2.123690468000008309e+02 4.601382657280612875e+03 1.835961272968082312e+03
2.123893791000008378e+02 4.564276294523147953e+03 1.814100330366709841e+03
2.124097114000008446e+02 4.527610187956105619e+03 1.792653279498333177e+03
2.124300437000008515e+02 4.491376037030810949e+03 1.771608893178967264e+03
2.124503760000008583e+02 4.455565765423217272e+03 1.750956339670690795e+03
2.124707083000008652e+02 4.420171513168601450e+03 1.730685165614890593e+03
2.124910406000008720e+02 4.385185629134318333e+03 1.710785279835240544e+03
2.125113729000008789e+02 4.350600663813512256e+03 1.691246937959412890e+03
2.125317052000008857e+02 4.316409362423532912e+03 1.672060727811909601e+03
2.125520375000008926e+02 4.282604658293931607e+03 1.653217555533513405e+03
2.125723698000008994e+02 4.249179666529641509e+03 1.634708632385757710e+03
2.125927021000009063e+02 4.216127677935787688e+03 1.616525462201512482e+03
2.126130344000009131e+02 4.183442153191448597e+03 1.598659829445271043e+03
2.126333667000009200e+02 4.151116717260232690e+03 1.581103787849038326e+03
2.126536990000009268e+02 4.119145154026350610e+03 1.563849649591883690e+03
2.126740313000009337e+02 4.087521401145428626e+03 1.546889974993208170e+03
2.126943636000009406e+02 4.056239545099866973e+03 1.530217562691661442e+03
2.127146959000009474e+02 4.025293816449208862e+03 1.513825440283344960e+03
2.127350282000009543e+02 3.994678585266371556e+03 1.497706855394585318e+03
2.127553605000009611e+02 3.964388356751183437e+03 1.481855267166042495e+03
2.127756928000009680e+02 3.934417767013061621e+03 1.466264338126331040e+03
2.127960251000009748e+02 3.904761579015145799e+03 1.450927926434638721e+03
2.128163574000009817e+02 3.875414678672552327e+03 1.435840078473040194e+03
2.128366897000009885e+02 3.846372071097866410e+03 1.420995021770360381e+03
2.128570220000009954e+02 3.817628876987262629e+03 1.406387158240490407e+03
2.128773543000010022e+02 3.789180329141056063e+03 1.392011057719058044e+03
2.128976866000010091e+02 3.761021769112762286e+03 1.377861451783297525e+03
2.129180189000010159e+02 3.733148643981071473e+03 1.363933227840813515e+03
2.129383512000010228e+02 3.705556503239345147e+03 1.350221423473773257e+03
2.129586835000010296e+02 3.678240995797686992e+03 1.336721221025803288e+03
2.129790158000010365e+02 3.651197867092664183e+03 1.323427942419592455e+03
2.129993481000010433e+02 3.624422956300146780e+03 1.310337044193876636e+03
2.130196804000010502e+02 3.597912193646959622e+03 1.297444112749103397e+03
2.130400127000010571e+02 3.571661597817113943e+03 1.284744859791660474e+03
2.130603450000010639e+02 3.545667273448761534e+03 1.272235117967123188e+03
2.130806773000010708e+02 3.519925408718092513e+03 1.259910836673471749e+03
2.131010096000010776e+02 3.494432273006579635e+03 1.247768078045739230e+03
2.131213419000010845e+02 3.469184214648224497e+03 1.235803013103995454e+03
2.131416742000010913e+02 3.444177658753489141e+03 1.224011918057016601e+03
2.131620065000010982e+02 3.419409105106895367e+03 1.212391170754374798e+03
2.131823388000011050e+02 3.394875126135289975e+03 1.200937247280095562e+03
2.132026711000011119e+02 3.370572364943995581e+03 1.189646718681358834e+03
2.132230034000011187e+02 3.346497533418156763e+03 1.178516247826078597e+03
2.132433357000011256e+02 3.322647410386693991e+03 1.167542586383506432e+03
2.132636680000011324e+02 3.299018839846488390e+03 1.156722571922307679e+03
2.132840003000011393e+02 3.275608729244377173e+03 1.146053125120839695e+03
2.133043326000011461e+02 3.252414047814799233e+03 1.135531247084631104e+03
2.133246649000011530e+02 3.229431824970924026e+03 1.125154016766317000e+03
2.133449972000011599e+02 3.206659148747230574e+03 1.114918588483507392e+03
2.133653295000011667e+02 3.184093164291612538e+03 1.104822189530319974e+03
2.133856618000011736e+02 3.161731072405110353e+03 1.094862117878482195e+03
2.134059941000011804e+02 3.139570128127506450e+03 1.085035739964144568e+03
2.134263264000011873e+02 3.117607639367111460e+03 1.075340488556712899e+03
2.134466587000011941e+02 3.095840965573021094e+03 1.065773860706198548e+03
2.134669910000012010e+02 3.074267516448403967e+03 1.056333415765742757e+03
2.134873233000012078e+02 3.052884750703205100e+03 1.047016773486152942e+03
2.135076556000012147e+02 3.031690174844916328e+03 1.037821612179413933e+03
2.135279879000012215e+02 3.010681342005998886e+03 1.028745666948299913e+03
2.135483202000012284e+02 2.989855850806647595e+03 1.019786727979346665e+03
2.135686525000012352e+02 2.969211344251659739e+03 1.010942638896559856e+03
2.135889848000012421e+02 2.948745508660168525e+03 1.002211295173377380e+03
2.136093171000012489e+02 2.928456072627078356e+03 9.935906426004959258e+02
2.136296494000012558e+02 2.908340806015145517e+03 9.850786758073072633e+02
2.136499817000012627e+02 2.888397518976541505e+03 9.766734368347704276e+02
2.136703140000012695e+02 2.868624061002974486e+03 9.683730137576616244e+02
2.136906463000012764e+02 2.849018320003313420e+03 9.601755393542299544e+02
2.137109786000012832e+02 2.829578221407795354e+03 9.520791898213734612e+02
2.137313109000012901e+02 2.810301727297927300e+03 9.440821835335436845e+02
2.137516432000012969e+02 2.791186835561160478e+03 9.361827798436582952e+02
2.137719755000013038e+02 2.772231579069567942e+03 9.283792779243825635e+02
2.137923078000013106e+02 2.753434024881663390e+03 9.206700156482110060e+02
2.138126401000013175e+02 2.734792273466598544e+03 9.130533685048502548e+02
2.138329724000013243e+02 2.716304457950047890e+03 9.055277485544710316e+02
2.138533047000013312e+02 2.697968743380960404e+03 8.980916034154543013e+02
2.138736370000013380e+02 2.679783326018618936e+03 8.907434152853240903e+02
2.138939693000013449e+02 2.661746432639231898e+03 8.834816999936074353e+02
2.139143016000013517e+02 2.643856319861478369e+03 8.763050060854263847e+02
2.139346339000013586e+02 2.626111273490415897e+03 8.692119139346600605e+02
2.139549662000013655e+02 2.608509607879072519e+03 8.622010348855891380e+02
2.139752985000013723e+02 2.591049665307257328e+03 8.552710104219576124e+02
2.139956308000013792e+02 2.573729815376980696e+03 8.484205113624424257e+02
2.140159631000013860e+02 2.556548454423955718e+03 8.416482370815667764e+02
2.140362954000013929e+02 2.539504004944717053e+03 8.349529147551235155e+02
2.140566277000013997e+02 2.522594915038820545e+03 8.283332986292211899e+02
2.140769600000014066e+02 2.505819657865686167e+03 8.217881693120980344e+02
2.140972923000014134e+02 2.489176731115601797e+03 8.153163330878858233e+02
2.141176246000014203e+02 2.472664656494464452e+03 8.089166212515386860e+02
2.141379569000014271e+02 2.456281979221857000e+03 8.025878894641729175e+02
2.141582892000014340e+02 2.440027267542000118e+03 7.963290171280926870e+02
2.141786215000014408e+02 2.423899112247236189e+03 7.901389067808133859e+02
2.141989538000014477e+02 2.407896126213644038e+03 7.840164835074075427e+02
2.142192861000014545e+02 2.392016943948412973e+03 7.779606943705430240e+02
2.142396184000014614e+02 2.376260221148641449e+03 7.719705078575901780e+02
2.142599507000014682e+02 2.360624634271207015e+03 7.660449133442140237e+02
2.142802830000014751e+02 2.345108880113366467e+03 7.601829205738798692e+02
2.143006153000014820e+02 2.329711675403810659e+03 7.543835591527312090e+02
2.143209476000014888e+02 2.314431756403794225e+03 7.486458780593090978e+02
2.143412799000014957e+02 2.299267878518138787e+03 7.429689451686199391e+02
2.143616122000015025e+02 2.284218815915725827e+03 7.373518467900557880e+02
2.143819445000015094e+02 2.269283361159278229e+03 7.317936872187086692e+02
2.144022768000015162e+02 2.254460324844112620e+03 7.262935882996271175e+02
2.144226091000015231e+02 2.239748535245633775e+03 7.208506890045889577e+02
2.144429414000015299e+02 2.225146837975324615e+03 7.154641450209663844e+02
2.144632737000015368e+02 2.210654095644931203e+03 7.101331283522936246e+02
2.144836060000015436e+02 2.196269187538696315e+03 7.048568269301454166e+02
2.145039383000015505e+02 2.181991009293375100e+03 6.996344442369628496e+02
2.145242706000015573e+02 2.167818472585763175e+03 6.944651989394616294e+02
