timestep	potential_energy	temperature
0	-0.06611470878	0
100000	-566.9055786	0.7255029678
200000	-829.3173218	0.9121627212
300000	-1085.039429	0.9858861566
400000	-1330.003418	1.007661819
500000	-1488.669312	1.022257924
600000	-1697.095825	1.024815083
700000	-1944.170166	1.028926492
800000	-2119.745361	1.019665718
900000	-2355.151367	1.015850902
1000000	-2519.032227	1.028281927
1100000	-2758.138184	1.032502532
1200000	-2956.9375	1.011826873
1300000	-3125.5625	1.021189928
1400000	-3380.584961	1.012080073
1500000	-3674.367432	1.013006568
1600000	-3924.262451	1.025648475
1700000	-4228.324707	1.021014571
1800000	-4462.674805	1.014539123
1900000	-4691.370117	1.015592456
2000000	-4915.341309	1.013816118
2100000	-5218.563965	1.033552647
2200000	-5512.287109	1.026479959
2300000	-5705.239746	1.044294238
2400000	-5911.420898	1.022396326
2500000	-6148.710449	1.025324464
2600000	-6309.675293	1.013093591
2700000	-6407.195801	1.015066504
2800000	-6637.541992	1.014134645
2900000	-6823.233398	1.002025723
3000000	-7065.952148	1.010571003
3100000	-7236.157227	1.006763816
3200000	-7419.045898	1.01717186
3300000	-7725.035156	1.030277014
3400000	-7854.461426	1.020805597
3500000	-8070.34668	1.023117423
3600000	-8258.342773	1.010309935
3700000	-8424.085938	1.003595471
3800000	-8535.742188	0.9998093843
3900000	-8731.109375	1.018183827
4000000	-9009.359375	1.022960544
4100000	-9141.954102	1.040466189
4200000	-9291.871094	1.019111037
4300000	-9559.064453	1.027058721
4400000	-9706.999023	1.016837001
4500000	-9854.793945	1.033043027
4600000	-9995.886719	1.043146253
4700000	-10217.58203	1.029284716
4800000	-10331.50586	1.024229884
4900000	-10552.84277	1.013971925
5000000	-10792.85156	1.013188362
5100000	-11182.87012	1.007297754
5200000	-11354.21484	1.019061446
5300000	-11593.47363	1.032259226
5400000	-11658.08398	1.012970448
5500000	-11891.72754	0.994731307
5600000	-12103.55273	1.01341176
5700000	-12263.60547	0.9985591769
5800000	-12545.99707	1.009423614
5900000	-12694.76172	1.013629675
6000000	-12744.50879	1.016012788
6100000	-12941.56445	1.021507978
6200000	-13137.65332	1.022423983
6300000	-13232.31836	1.011579275
6400000	-13341.5	1.010544896
6500000	-13555.03223	1.02980566
6600000	-13710.37695	1.032902718
6700000	-13864.25195	1.014499664
6800000	-14018.99512	1.007732034
6900000	-14212.63281	0.9924398661
7000000	-14462.26855	1.001504421
7100000	-14740.36523	1.01491797
7200000	-14998.65723	1.006335616
7300000	-15252.08789	1.019298553
7400000	-15363.33008	1.006994486
7500000	-15610.60547	1.013958693
7600000	-15788.58008	1.028036714
7700000	-15932.37402	1.029690504
7800000	-16008.45898	1.012752891
7900000	-16208.17676	0.9917436838
8000000	-16350.8916	1.006377339
8100000	-16596.32422	0.9901268482
8200000	-16907.73828	1.01279366
8300000	-17102.56641	1.004484892
8400000	-17402.05078	1.016266584
8500000	-17461.13672	1.018644214
8600000	-17556.58789	1.005584002
8700000	-17716.35352	1.023204327
8800000	-17799.25391	1.018006086
8900000	-17957.78125	1.030663133
9000000	-18037.14258	1.021161795
9100000	-18014.81055	1.003895044
9200000	-18324.01367	1.008495092
9300000	-18478.68555	1.006167173
9400000	-18768.08594	1.015237212
9500000	-18881.25	1.011827707
9600000	-19112.15039	1.019663453
9700000	-19265.67969	1.015607595
9800000	-19346.14844	1.018355489
9900000	-19502.95508	1.008742094
10000000	-19755.34961	1.020861745
10100000	-19803.52148	1.018086672
10200000	-20005.25391	1.021599889
10300000	-20027.73828	1.01553607
10400000	-20290.75	1.010684848
10500000	-20463.86719	0.9987143278
10600000	-20745.97461	0.9857052565
10700000	-20882.92188	0.993827045
10800000	-21089.57812	1.012041211
10900000	-21215.09766	1.012881398
11000000	-21466.24219	1.01974082
11100000	-21618.87891	1.003403664
11200000	-21721.20898	1.002430677
11300000	-21978.89062	1.008880377
11400000	-22084.4043	0.9876365662
11500000	-22149.18359	1.009258151
11600000	-22226.93945	1.004422784
11700000	-22359.72656	1.018051147
11800000	-22467.69727	1.015821576
11900000	-22537.32031	1.014098763
12000000	-22746.67969	1.022831082
12100000	-23048.83008	1.031048417
12200000	-23048.39453	0.9957633615
12300000	-23272.50781	1.002620578
12400000	-23515.96094	1.006911159
12500000	-23615.95703	1.010520101
12600000	-23730.99805	1.013379216
12700000	-23917.0625	1.023198485
12800000	-24060.92578	1.022954583
12900000	-24153.75	1.014521003
13000000	-24382.40625	1.024401546
13100000	-24470.11719	1.009001136
13200000	-24707.44922	1.009878159
13300000	-24971.24805	1.022473574
13400000	-25065.76172	1.013170242
13500000	-25259.00391	1.008473635
13600000	-25421.23828	1.005765676
13700000	-25556.42188	0.9962459803
13800000	-25687.57031	1.012989163
13900000	-25875.36328	1.024362564
14000000	-26081.65039	1.013940811
14100000	-26112.34961	1.001517057
14200000	-26230.36133	1.00398922
14300000	-26333.2168	1.01749301
14400000	-26467.69531	1.039040089
14500000	-26508.44727	1.020563245
14600000	-26723.27734	1.026085734
14700000	-26908.79688	1.016775727
14800000	-27026.42578	1.01474762
14900000	-27290.41211	1.002978802
15000000	-27552.00977	1.000517011
15100000	-27777.14062	1.019981027
15200000	-28019.83594	1.02282238
15300000	-28252.47266	1.015623808
15400000	-28376.72266	1.001733899
15500000	-28577.11523	1.011888385
15600000	-28699.32422	1.014650464
15700000	-28886.86719	1.010639191
15800000	-28965.91406	1.00227201
15900000	-29073.66406	1.014419556
16000000	-29500.71484	1.021977425
16100000	-29542.00586	1.017196655
16200000	-29759.59375	1.012891293
16300000	-30115.00391	1.032081008
16400000	-30158.49609	1.023326278
16500000	-30241.51758	0.9999594688
16600000	-30686.32031	1.011279106
16700000	-30513.6582	1.016968012
16800000	-30561.25781	1.0071311
16900000	-30737.08789	1.002183199
17000000	-31158.0625	1.012756348
17100000	-31315.81641	1.003678441
17200000	-31516.11914	1.010276079
17300000	-31702.42773	1.00809896
17400000	-32052.81641	1.024916649
17500000	-32306.22461	1.035462976
17600000	-32251.14648	1.022368908
17700000	-32568.64648	1.014302611
17800000	-32905.00781	1.017623901
17900000	-33014.57031	1.010090709
18000000	-33074.35938	1.00162971
