# Distance                   Potential                   Force
2.000100000000000193e+02 5.754825321194098069e+04 1.814904830441757804e+06
2.000311444000000165e+02 3.960253993711997464e+04 4.384479143219077378e+05
2.000522888000000137e+02 3.296791663078715646e+04 2.292867282617723977e+05
2.000734332000000109e+02 2.906567629447537911e+04 1.498799385904049268e+05
2.000945776000000080e+02 2.636776929814675896e+04 1.091621239103609114e+05
2.001157220000000052e+02 2.433701127407516469e+04 8.476535420772424550e+04
2.001368664000000024e+02 2.272552873211943734e+04 6.867258146184803627e+04
2.001580107999999996e+02 2.139976003010401837e+04 5.733886108688612876e+04
2.001791551999999967e+02 2.028002807645475332e+04 4.896797832397542516e+04
2.002002995999999939e+02 1.931523248972595684e+04 4.255784735993869981e+04
2.002214439999999911e+02 1.847077154774351584e+04 3.750774199074182980e+04
2.002425883999999883e+02 1.772220256847911151e+04 3.343684652802439086e+04
2.002637327999999854e+02 1.705166312357279821e+04 3.009270830834797380e+04
2.002848771999999826e+02 1.644573092393655315e+04 2.730172223794413003e+04
2.003060215999999798e+02 1.589408264256214170e+04 2.494079548239393625e+04
2.003271659999999770e+02 1.538862009069621854e+04 2.292035696947655015e+04
2.003483103999999742e+02 1.492288189491956655e+04 2.117376032277999911e+04
2.003694547999999713e+02 1.449163611075224435e+04 1.965044813712915129e+04
2.003905991999999685e+02 1.409059118121614847e+04 1.831141223926497696e+04
2.004117435999999657e+02 1.371618645229257527e+04 1.712610103745083325e+04
2.004328879999999629e+02 1.336543747157460894e+04 1.607026487171029294e+04
2.004540323999999600e+02 1.303581982164532928e+04 1.512442463750823299e+04
2.004751767999999572e+02 1.272518057742524616e+04 1.427276380171596065e+04
2.004963211999999544e+02 1.243166990538900245e+04 1.350231377983340644e+04
2.005174655999999516e+02 1.215368757596462274e+04 1.280234623818012369e+04
2.005386099999999487e+02 1.188984067229179527e+04 1.216391373258516796e+04
2.005597543999999459e+02 1.163890981196505163e+04 1.157949826183511868e+04
2.005808987999999431e+02 1.139982191690683067e+04 1.104273939400167183e+04
2.006020431999999403e+02 1.117162807388230613e+04 1.054822179763173699e+04
2.006231875999999374e+02 1.095348539156823608e+04 1.009130762988070092e+04
2.006443319999999346e+02 1.074464202380401548e+04 9.668003155226966555e+03
2.006654763999999318e+02 1.054442472235900459e+04 9.274851742254833880e+03
2.006866207999999290e+02 1.035222842643626245e+04 8.908847372918857218e+03
2.007077651999999262e+02 1.016750750413228343e+04 8.567364238720552748e+03
2.007289095999999233e+02 9.989768342925963225e+03 8.248099053326846843e+03
2.007500539999999205e+02 9.818563048873771550e+03 7.949023492148086007e+03
2.007711983999999177e+02 9.653484062476094550e+03 7.668344753025915452e+03
2.007923427999999149e+02 9.494159536724906502e+03 7.404472672251162294e+03
2.008134871999999120e+02 9.340249352253485995e+03 7.155992164755983140e+03
2.008346315999999092e+02 9.191441667711409536e+03 6.921640013793436992e+03
2.008557759999999064e+02 9.047449921914525476e+03 6.700285233460019299e+03
2.008769203999999036e+02 8.908010219045923805e+03 6.490912381427356195e+03
2.008980647999999007e+02 8.772879040023131893e+03 6.292607319821255260e+03
2.009192091999998979e+02 8.641831232718875981e+03 6.104545017180440482e+03
2.009403535999998951e+02 8.514658241503626414e+03 5.925979059721041267e+03
2.009614979999998923e+02 8.391166542934972313e+03 5.756232600154425199e+03
2.009826423999998894e+02 8.271176259637946714e+03 5.594690520414026651e+03
2.010037867999998866e+02 8.154519928724564124e+03 5.440792623406789971e+03
2.010249311999998838e+02 8.041041404667380448e+03 5.294027700288064807e+03
2.010460755999998810e+02 7.930594879507732912e+03 5.153928345289603385e+03
2.010672199999998782e+02 7.823044005757994455e+03 5.020066410994200851e+03
2.010883643999998753e+02 7.718261109434341961e+03 4.892049014074371371e+03
2.011095087999998725e+02 7.616126482405651586e+03 4.769515015625283013e+03
2.011306531999998697e+02 7.516527744720786359e+03 4.652131911899357874e+03
2.011517975999998669e+02 7.419359268828260610e+03 4.539593080949178329e+03
2.011729419999998640e+02 7.324521658666484655e+03 4.431615338770830022e+03
2.011940863999998612e+02 7.231921277510377877e+03 4.327936765304011715e+03
2.012152307999998584e+02 7.141469819236599506e+03 4.228314766323254844e+03
2.012363751999998556e+02 7.053083918336013085e+03 4.132524342036286725e+03
2.012575195999998527e+02 6.966684794574880470e+03 4.040356537245251275e+03
2.012786639999998499e+02 6.882197928701106321e+03 3.951617051349474423e+03
