# Distance                   Potential                   Force
1.900095000000000312e+02 5.610346158246808773e+04 1.838449651230944786e+06
1.900300825000000202e+02 3.861480499531167879e+04 4.351004643299443997e+05
1.900506650000000093e+02 3.221853086700520726e+04 2.266975770391469414e+05
1.900712474999999984e+02 2.846568779989343238e+04 1.479799712859725114e+05
1.900918299999999874e+02 2.587365538126642059e+04 1.077095230398291897e+05
1.901124124999999765e+02 2.392347775235959125e+04 8.361331131395723787e+04
1.901329949999999656e+02 2.237622935215460166e+04 6.773276646723497834e+04
1.901535774999999546e+02 2.110334997691134413e+04 5.655541529983279179e+04
1.901741599999999437e+02 2.002822005714594343e+04 4.830378160150993062e+04
1.901947424999999328e+02 1.910173485595020611e+04 4.198716309846155491e+04
1.902153249999999218e+02 1.829066197238866880e+04 3.701208311127814522e+04
1.902359074999999109e+02 1.757153607760024897e+04 3.300253452830346214e+04
1.902564899999999000e+02 1.692721494898902893e+04 2.970936680605285437e+04
1.902770724999998890e+02 1.634482119083493126e+04 2.696131071416677150e+04
1.902976549999998781e+02 1.581445296618482098e+04 2.463696846623237434e+04
1.903182374999998672e+02 1.532834433415343301e+04 2.264802653849673152e+04
1.903388199999998562e+02 1.488030012169309884e+04 2.092878974046430085e+04
1.903594024999998453e+02 1.446530471462908281e+04 1.942943248212669278e+04
1.903799849999998344e+02 1.407924456587584064e+04 1.811151819399936721e+04
1.904005674999998234e+02 1.371870712724553050e+04 1.694494780747193727e+04
1.904211499999998125e+02 1.338083239332199446e+04 1.590583427203984138e+04
1.904417324999998016e+02 1.306320144443437493e+04 1.497499223276757584e+04
1.904623149999997906e+02 1.276375150736105206e+04 1.413684548937747422e+04
1.904828974999997797e+02 1.248071034774618056e+04 1.337862386720388531e+04
1.905034799999997688e+02 1.221254497347713368e+04 1.268976418793333687e+04
1.905240624999997578e+02 1.195792108067033041e+04 1.206145752589133917e+04
1.905446449999997469e+02 1.171567066651447749e+04 1.148630286996605355e+04
1.905652274999997360e+02 1.148476592321134012e+04 1.095803923411091637e+04
1.905858099999997251e+02 1.126429801439503717e+04 1.047133632545512774e+04
1.906063924999997141e+02 1.105345968426966829e+04 1.002162942407660375e+04
1.906269749999997032e+02 1.085153090283235179e+04 9.604987997043621363e+03
1.906475574999996923e+02 1.065786693645213563e+04 9.218010305279223758e+03
1.906681399999996813e+02 1.047188837114904527e+04 8.857738221309215078e+03
1.906887224999996704e+02 1.029307271954171119e+04 8.521587895917238711e+03
1.907093049999996595e+02 1.012094732096219741e+04 8.207292952009976943e+03
1.907298874999996485e+02 9.955083304291512832e+03 7.912857653928453146e+03
1.907504699999996376e+02 9.795090429387902986e+03 7.636518075751615470e+03
1.907710524999996267e+02 9.640612658989868578e+03 7.376709725890131267e+03
1.907916349999996157e+02 9.491324341182211356e+03 7.132040415057823338e+03
1.908122174999996048e+02 9.346926904763578932e+03 6.901267407449235179e+03
1.908327999999995939e+02 9.207145987523123040e+03 6.683278090099663132e+03
1.908533824999995829e+02 9.071728931554000155e+03 6.477073547151671846e+03
