# Distance                   Potential                   Force
2.100105000000000359e+02 5.998994576301245979e+04 1.792977316479624715e+06
2.100314067000000477e+02 4.194900416365941055e+04 4.556586468120138743e+05
2.100523134000000596e+02 3.509492226996310637e+04 2.407015064917437267e+05
2.100732201000000714e+02 3.103516598845649423e+04 1.580394958334194380e+05
2.100941268000000832e+02 2.821867736702675393e+04 1.153999765869630064e+05
2.101150335000000950e+02 2.609415750102559468e+04 8.976322572500904789e+04
2.101359402000001069e+02 2.440576269428597880e+04 7.281399743563105585e+04
2.101568469000001187e+02 2.301514342851881520e+04 6.085779991075208818e+04
2.101777536000001305e+02 2.183956273933360353e+04 5.201648522809309361e+04
2.101986603000001423e+02 2.082586170571453476e+04 4.523974077140202280e+04
2.102195670000001542e+02 1.993799469797762504e+04 3.989677327304327628e+04
2.102404737000001660e+02 1.915047103104847702e+04 3.558712632796100661e+04
2.102613804000001778e+02 1.844464574787841775e+04 3.204501437404445824e+04
2.102822871000001896e+02 1.780649815803790625e+04 2.908748546740750680e+04
2.103031938000002015e+02 1.722523795236196383e+04 2.658471302546434163e+04
2.103241005000002133e+02 1.669239609288179054e+04 2.444215982414201426e+04
2.103450072000002251e+02 1.620121219088026737e+04 2.258944177927149940e+04
2.103659139000002369e+02 1.574620997117059051e+04 2.097313787771298303e+04
2.103868206000002488e+02 1.532289586327044890e+04 1.955201131769967833e+04
2.104077273000002606e+02 1.492754042611959812e+04 1.829375168908465639e+04
2.104286340000002724e+02 1.455701684995736287e+04 1.717270384817584636e+04
2.104495407000002842e+02 1.420867963004448757e+04 1.616825286965872147e+04
2.104704474000002961e+02 1.388027205303141636e+04 1.526365494659541218e+04
2.104913541000003079e+02 1.356985470181927849e+04 1.444517744986535217e+04
2.105122608000003197e+02 1.327574952929893152e+04 1.370145716423308113e+04
2.105331675000003315e+02 1.299649562525678266e+04 1.302301499735606922e+04
2.105540742000003434e+02 1.273081387715300843e+04 1.240188456968784340e+04
2.105749809000003552e+02 1.247757847422560553e+04 1.183132480819265948e+04
2.105958876000003670e+02 1.223579373331580609e+04 1.130559527459482888e+04
2.106167943000003788e+02 1.200457510381485372e+04 1.081977888000765597e+04
2.106377010000003906e+02 1.178313348427326855e+04 1.036964077110236030e+04
2.106586077000004025e+02 1.157076218538028297e+04 9.951515097729210538e+03
2.106795144000004143e+02 1.136682602423978278e+04 9.562213467666597353e+03
2.107004211000004261e+02 1.117075214765425335e+04 9.198950413573271362e+03
2.107213278000004379e+02 1.098202226763312137e+04 8.859282310823868102e+03
2.107422345000004498e+02 1.080016605775434437e+04 8.541057009440539332e+03
2.107631412000004616e+02 1.062475550947543161e+04 8.242372059673481999e+03
2.107840479000004734e+02 1.045540008673767079e+04 7.961539875632688563e+03
2.108049546000004852e+02 1.029174254795901106e+04 7.697058534924271044e+03
2.108258613000004971e+02 1.013345532877563892e+04 7.447587183280792487e+03
2.108467680000005089e+02 9.980237398166347702e+03 7.211925222510655658e+03
2.108676747000005207e+02 9.831811516000032498e+03 6.988994622917189190e+03
2.108885814000005325e+02 9.687921832434692988e+03 6.777824828835629887e+03
2.109094881000005444e+02 9.548331779613716208e+03 6.577539826404637097e+03
2.109303948000005562e+02 9.412822214249328681e+03 6.387347022335557085e+03
2.109513015000005680e+02 9.281189776337676449e+03 6.206527645944441247e+03
2.109722082000005798e+02 9.153245434714088333e+03 6.034428437617262716e+03
2.109931149000005917e+02 9.028813194664457114e+03 5.870454427898620452e+03
2.110140216000006035e+02 8.907728946543034908e+03 5.714062644611969517e+03
2.110349283000006153e+02 8.789839437454103972e+03 5.564756612446280997e+03
2.110558350000006271e+02 8.675001350650636596e+03 5.422081531533314774e+03
2.110767417000006390e+02 8.563080479479755013e+03 5.285620039671658560e+03
2.110976484000006508e+02 8.453950984536913893e+03 5.154988477798921849e+03
2.111185551000006626e+02 8.347494724238264098e+03 5.029833590681072565e+03
2.111394618000006744e+02 8.243600650332358782e+03 4.909829605061465372e+03
2.111603685000006863e+02 8.142164260987543457e+03 4.794675636077509807e+03
2.111812752000006981e+02 8.043087105042770418e+03 4.684093379919147083e+03
2.112021819000007099e+02 7.946276331823533837e+03 4.577825056719501845e+03
2.112230886000007217e+02 7.851644281622890958e+03 4.475631572734955625e+03
2.112439953000007336e+02 7.759108112548519784e+03 4.377290875152907574e+03
2.112649020000007454e+02 7.668589459955219354e+03 4.282596476493319642e+03
2.112858087000007572e+02 7.580014125130704997e+03 4.191356128653552332e+03
2.113067154000007690e+02 7.493311790291414582e+03 4.103390629273891136e+03
2.113276221000007808e+02 7.408415757283220955e+03 4.018532745347243690e+03
2.113485288000007927e+02 7.325262707676366517e+03 3.936626240920847067e+03
2.113694355000008045e+02 7.243792482201353778e+03 3.857524997391229590e+03
2.113903422000008163e+02 7.163947877697504737e+03 3.781092216317352722e+03
2.114112489000008281e+02 7.085674459943551483e+03 3.707199695905871977e+03
2.114321556000008400e+02 7.008920390913014671e+03 3.635727173385900642e+03
2.114530623000008518e+02 6.933636269150126282e+03 3.566561726412689040e+03
2.114739690000008636e+02 6.859774982096754684e+03 3.499597227441068753e+03
2.114948757000008754e+02 6.787291569320163035e+03 3.434733845707290584e+03
2.115157824000008873e+02 6.716143095696875207e+03 3.371877592066953639e+03
2.115366891000008991e+02 6.646288533701699635e+03 3.310939902469151548e+03
2.115575958000009109e+02 6.577688654034111096e+03 3.251837256313484431e+03
2.115785025000009227e+02 6.510305923888330653e+03 3.194490826345985170e+03
2.115994092000009346e+02 6.444104412239561498e+03 3.138826157110032909e+03
2.116203159000009464e+02 6.379049701577697306e+03 3.084772869285462548e+03
2.116412226000009582e+02 6.315108805572754136e+03 3.032264387528830412e+03
2.116621293000009700e+02 6.252250092203442364e+03 2.981237689675152524e+03
2.116830360000009819e+02 6.190443211922682167e+03 2.931633075380348146e+03
2.117039427000009937e+02 6.129659030472037557e+03 2.883393952477731546e+03
2.117248494000010055e+02 6.069869565991261879e+03 2.836466639494310130e+03
2.117457561000010173e+02 6.011047930099915902e+03 2.790800182925966965e+03
2.117666628000010292e+02 5.953168272656082081e+03 2.746346188007150431e+03
2.117875695000010410e+02 5.896205729922045975e+03 2.703058661832554208e+03
2.118084762000010528e+02 5.840136375889810552e+03 2.660893867797029543e+03
2.118293829000010646e+02 5.784937176539675420e+03 2.619810190417330432e+03
2.118502896000010765e+02 5.730585946823924132e+03 2.579768009686435562e+03
2.118711963000010883e+02 5.677061310184448303e+03 2.540729584189375146e+03
2.118921030000011001e+02 5.624342660428644194e+03 2.502658942279670555e+03
2.119130097000011119e+02 5.572410125801767208e+03 2.465521780678602227e+03
2.119339164000011237e+02 5.521244535106769035e+03 2.429285369916341551e+03
2.119548231000011356e+02 5.470827385734194650e+03 2.393918466085139244e+03
2.119757298000011474e+02 5.421140813475270079e+03 2.359391228420999596e+03
2.119966365000011592e+02 5.372167564001071696e+03 2.325675142271928053e+03
2.120175432000011710e+02 5.323890965899400726e+03 2.292742947048639508e+03
2.120384499000011829e+02 5.276294905169131198e+03 2.260568568787691220e+03
2.120593566000011947e+02 5.229363801079241966e+03 2.229127056988021195e+03
2.120802633000012065e+02 5.183082583306382730e+03 2.198394525409892594e+03
2.121011700000012183e+02 5.137436670271311414e+03 2.168348096550789251e+03
2.121220767000012302e+02 5.092411948599935386e+03 2.138965849535929920e+03
2.121429834000012420e+02 5.047994753640286945e+03 2.110226771182208722e+03
2.121638901000012538e+02 5.004171850971329150e+03 2.082110710013526841e+03
2.121847968000012656e+02 4.960930418844098313e+03 2.054598333023016494e+03
2.122057035000012775e+02 4.918258031499761273e+03 2.027671084993617342e+03
2.122266102000012893e+02 4.876142643312895416e+03 2.001311150203052875e+03
2.122475169000013011e+02 4.834572573711934638e+03 1.975501416352595925e+03
2.122684236000013129e+02 4.793536492831733995e+03 1.950225440571205127e+03
2.122893303000013248e+02 4.753023407856440826e+03 1.925467417357777776e+03
2.123102370000013366e+02 4.713022650013420389e+03 1.901212148334515177e+03
2.123311437000013484e+02 4.673523862181624281e+03 1.877445013693761211e+03
